AFF_LOVE_POINT	Punto amore: %d%%
SKILL_JEONGEOP	Guarire
SKILL_JEONGWI	Esaltazione da combattimento
SKILL_JEONSINBANGEO	Difesa piena
SKILL_JEONSINGONGGYEOK	Attacco pieno
SKILL_JEUNGCHE	SKILL_JEUNGCHE Non è più usato
SKILL_JEUNGHON	SKILL_JEUNGHON Non è più usato
SKILL_JEUNGRYEOK	Attacco +
SKILL_JEUNGSOK	Vlocità +
SKILL_JIGAM	SKILL_JIGAM Non è più usato
SKILL_JIPJUNG	SKILL_JIPJUNG Non è più usato
SKILL_JUMAGAP	Armatura incantata
SKILL_JUMAGEOM	SKILL_JUMAGEOM Non è più usato
SKILL_KWAEGEOM	SKILL_KWAEGEOM Non è più usato
SKILL_KWAESOK	Velocità
SKILL_LEGBOUND	SKILL_LEGBOUND Non è più usato
SKILL_MUSA	SKILL_MUSA Non è più usato
SKILL_MUYEONG	Spirito della fiamma
SKILL_NEED_EMPTY_BOTTLE	Non ho altre bottiglie vuote.
SKILL_NEED_POISON_BOTTLE	Non ho bottiglie di veleno.
SKILL_ONLY_FOR_GUILD_WAR	Puoi usare questa abilità solo nella guerra tra Gilde.
SKILL_PABEOP	Togli incantesimo
SKILL_POWERFUL_STRIKE	Attacco anestetizzante
SKILL_SEOMGWANG	Bomba lampo
SKILL_SINCHAK	SKILL_SINCHAK Non è più usato
SKILL_SLEEP	Sonno
SKILL_SLOW	Lento
SKILL_STUN	Anestetizzare
SKILL_SUHO	Guardiano
SKILL_SUMMON_DESCRIPTION	Possibilità di evocazione: %d%%
SKILL_TOOLTIP_INT	Intelligenza
SKILL_TOOLTIP_LEVEL	Livello
SKILL_TOXICDIE	Avvelenamento
SKILL_TOXICPOWER	Valore di avvelenamento migliorato
SKILL_TUSOK	Colpo dello spirito
SKILL_WONSIN	SKILL_WONSIN Non è più usato
SKILL_YONGSIN	SKILL_YONGSIN Non è più usato
STAT_MINUS_CON	Adattamento della vitalità (Possibilità rimaste: %d)
STAT_MINUS_DEX	Adattamento della destrezza (Possibilità rimaste: %d)
STAT_MINUS_INT	Adattamento dell'intelligenza (Possibilità rimaste: %d)
STAT_MINUS_STR	Adattamento della forza (Possibilità rimaste: %d)
STAT_TOOLTIP_CON	HP e Difesa aumentati
STAT_TOOLTIP_DEX	Precisione e Fuga aumentati
STAT_TOOLTIP_INT	MP e Difesa-Attacco magici aumentati
STAT_TOOLTIP_STR	Valori Attacco e Danno migliorati
SYMBOLLIST_TITLE	Registrare la bandiera della Gilda
SYSTEM_OPTION_CPU_TILING_1	La modalità CPU Tiling può migliorare la velocità di un PC lento.
SYSTEM_OPTION_CPU_TILING_2	Se si dovessero verificare problemi con la grafica, scegli ,Opzioni di sistema‘ o ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	ed usa così il GPU-Tiling-Modus
SYSTEM_OPTION_GPU_TILING_1	La modalità GPU Tiling potrebbe andare più lentamente su un PC vecchio
SYSTEM_OPTION_GPU_TILING_2	Se si verificano dei problemi con la grafica scegli "Opzioni di Sistema" o "CONFIG.exe"
SYSTEM_OPTION_GPU_TILING_3	e cambia in modalità CPU Tiling
SYSTEM_OPTION_TILING_EXIT	Per cambiare la modalità Tiling devi riavviare il gioco.
TARGET_BUTTON_ACCEPT_FIGHT	Accetta
TARGET_BUTTON_AVENGE	Vendetta
TARGET_BUTTON_BUILDING_DESTROY	Distruggi
TARGET_BUTTON_DISMOUNT	Scendi
TARGET_BUTTON_EMOTION_ALLOW	Emozioni
TARGET_BUTTON_EXCHANGE	Commercia
TARGET_BUTTON_EXCLUDE	Escludi
TARGET_BUTTON_EXIT_OBSERVER	Termina la modalità spettatore
TARGET_BUTTON_FIGHT	Duello
TARGET_BUTTON_FRIEND	Amico
TARGET_BUTTON_INVITE_GUILD	Invito Gilda.
TARGET_BUTTON_INVITE_PARTY	Invito Gruppo.
TARGET_BUTTON_LEAVE_PARTY	Lascia gruppo
TARGET_BUTTON_REQUEST_ENTER_PARTY	Entra nel gruppo
TARGET_BUTTON_VIEW_EQUIPMENT	Armatura
TARGET_BUTTON_WHISPER	Chat privata
TARGET_LEVEL_BOSS	Capo
TARGET_LEVEL_KING	Grado 5
TARGET_LEVEL_KNIGHT	Grado 3
TARGET_LEVEL_PAWN	Grado 1
TARGET_LEVEL_S_KNIGHT	Grado 4
TARGET_LEVEL_S_PAWN	Grado 2
TASKBAR_ATTACK	Attacca
TASKBAR_AUTO	Attacca automaticamente
TASKBAR_CAMERA	Videocamera
TASKBAR_EXP	Esperienza
TASKBAR_HP	HP
TASKBAR_MOVE	Muovi
TASKBAR_SKILL	Abilità
TASKBAR_SP	MP
TASKBAR_ST	AP
THING_COUNT	Tutti
TOOLTIP_ANTI_SELL	Non può essere venduto nel negozio.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Forte contro Animali +%d%%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Forte contro Ninja +%d%%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Forte contro Diavolo +%d%%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Forte contro Mezziuomini +%d%%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Forte contro Esoterici +%d%%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Forte contro mostri +%d%%
TOOLTIP_APPLY_ATTBONUS_ORC	Forte contro Orchi +%d%%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Forte contro Shamane +%d%%
TOOLTIP_APPLY_ATTBONUS_SURA	Forte contro Sura +%d%%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Forte contro Zombie +%d%%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Forte contro Guerrieri +%d%%
TOOLTIP_APPLY_BLOCK	Possibilità blocco attacco corporale %d%%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Rigenerare in battaglia %d MP ogni 5 Sec.
TOOLTIP_APPLY_CRITICAL_PCT	+ %d%% di possibilità nei colpi critici
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% di possibilità di mantenere MP nei colpi
TOOLTIP_APPLY_DODGE	%d%% di possibilità di schivare frecce
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% di possibilità sul EXP Bonus
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% di possibilità di lasciar cadere Yang
TOOLTIP_APPLY_IMMUNE_FALL	Immune contro caduta
TOOLTIP_APPLY_IMMUNE_SLOW	Difesa contro rallentamento
TOOLTIP_APPLY_IMMUNE_STUN	Difesa contro svenimento
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% di possibilità di far cadere il doppio degli oggetti
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% di possibilità di rigenerare HP
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% di possibilità di rigenerare MP
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% di possibilità prendere MP dell'avversario
TOOLTIP_APPLY_MAX_HP_PCT	HP max. +%d%% 
TOOLTIP_APPLY_MAX_SP_PCT	MP max. +%d%% 
TOOLTIP_APPLY_NOAFFECT	Nessun effetto
TOOLTIP_APPLY_NO_DEATH_PENALTY	Facendo rinascere il personaggio sul luogo della sua morte non perderà punti esperienza.
TOOLTIP_APPLY_PENETRATE_PCT	%d%% di possibilità su colpi che trafiggono
TOOLTIP_APPLY_POISON_PCT	Possibilità di avvelenamento: %d%%
TOOLTIP_APPLY_POISON_REDUCE	Resistenza all'avvelenamento %d%%
TOOLTIP_APPLY_POTION_BONUS	Pozione %d%% aumento dell'effetto
TOOLTIP_APPLY_REFLECT_CURSE	Possibilità di riflettere maledizione: %d%%
TOOLTIP_APPLY_REFLECT_MELEE	Possibilità di riflettere un attacco corporale: %d%%
TOOLTIP_APPLY_RESIST_ASSASSIN	Possibilità di difesa dai ninja %d%%
TOOLTIP_APPLY_RESIST_BELL	Difesa campana %d%%
TOOLTIP_APPLY_RESIST_DAGGER	Difesa pugnale %d%%
TOOLTIP_APPLY_RESIST_FAN	Difesa ventaglio %d%%
TOOLTIP_APPLY_RESIST_SHAMAN	Possibilità di difesa dagli shamani %d%%
TOOLTIP_APPLY_RESIST_SURA	Possibilità di difesa dai sura %d%%
TOOLTIP_APPLY_RESIST_SWORD	Difesa spada %d%%
TOOLTIP_APPLY_RESIST_TWOHAND	Difesa spadone %d%%
TOOLTIP_APPLY_RESIST_WARRIOR	Possibilità di difesa dai guerrieri %d%%
TOOLTIP_APPLY_RESIST_WIND	Resistenza %d%%
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Possibilità di imparare dai libri migliorata di fattore 2,5.
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Se l'apprendimento fallisce, hai a disposizione subito un altro tentativo.
TOOLTIP_APPLY_SLOW_PCT	Possibilità di rallentamento: %d%%
TOOLTIP_APPLY_STEAL_HP	%d%% di danni assorbiti da HP.
TOOLTIP_APPLY_STEAL_SP	%d%% di danni assorbiti da MP.
TOOLTIP_APPLY_STUN_PCT	Possibilità di svenimento: %d%%
TOOLTIP_ARMOR	Armatura
TOOLTIP_ARROW	Freccia
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valore d'attacco +%d
TOOLTIP_ATT_SPEED	Velocità d'attacco +%d%%
TOOLTIP_AUTO_POTION_HP	Elisir del Sole
TOOLTIP_AUTO_POTION_REST	Quantità rimasta: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elisir della Luna
TOOLTIP_AUTO_POTION_USING	Attivo
TOOLTIP_BOW_DISTANCE	Raggio d'azione dell'arco +%dm
TOOLTIP_BUYPRICE	Prezzo: %s
TOOLTIP_CAST_SPEED	Velocità della magia +%d%%
TOOLTIP_CON	Vitalità  +%d
TOOLTIP_COSTUME_ATTR_BONUS	not localized %d
TOOLTIP_DEF_GRADE	Difesa +%d
TOOLTIP_DEX	Destrezza +%d
TOOLTIP_EAR	Orecchino
TOOLTIP_ENERGY	Energia %d
TOOLTIP_ETC	Ecc.
TOOLTIP_FISHINGROD_EXP	Punti: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Livello: %d
TOOLTIP_FISHINGROD_UPGRADE1	Consegnare al pescatore
TOOLTIP_FISHINGROD_UPGRADE2	per ottenere una migliore
TOOLTIP_FISHINGROD_UPGRADE3	canna da pesca
TOOLTIP_FISH_LEN	Lunghezza: %.2fcm
TOOLTIP_HELMET	Elmo
TOOLTIP_HP_REGEN	Rigenerazione HP +%d%%
TOOLTIP_INT	Intelligenza +%d
TOOLTIP_ITEM_ATT_GRADE	Valore d'attacco %d
TOOLTIP_ITEM_ATT_POWER	Valore d'attacco %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valore d'attacco %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valore d'attacco %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Velocità d'attacco %s
TOOLTIP_ITEM_DEF_GRADE	Difesa %d
TOOLTIP_ITEM_FAST	Veloce
TOOLTIP_ITEM_LIMIT_CON	Valore massimo vitalità: %d
TOOLTIP_ITEM_LIMIT_DEX	Valore massimo destrezza: %d
TOOLTIP_ITEM_LIMIT_INT	Valore massimo intelligenza: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Da liv: %d
TOOLTIP_ITEM_LIMIT_STR	Valore massimo forza: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valore attacco magico %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valore attacco magico %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Difesa magica %d
TOOLTIP_ITEM_NORMAL	Normale
TOOLTIP_ITEM_SLOW	Lento
TOOLTIP_ITEM_VERY_FAST	Molto veloce
TOOLTIP_ITEM_VERY_SLOW	Molto lento
TOOLTIP_ITEM_WEARABLE_JOB	[ Equipaggiabile ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Numero fortuna: %d
TOOLTIP_MAGIC_ATT_GRADE	Valore d'attacco magico +%d
TOOLTIP_MAGIC_DEF_GRADE	Difesa magica +%d
TOOLTIP_MALL_ATTBONUS	Valore d'attacco +%d%%
TOOLTIP_MALL_ATTBONUS_STATIC	Valore d'attacco +12~15%
TOOLTIP_MALL_AUTOLOOT	Drop di Yang vengono raccolti automaticamete.
TOOLTIP_MALL_DEFBONUS	Difesa +%d%%
TOOLTIP_MALL_DEFBONUS_STATIC	Difesa +12~15%
TOOLTIP_MALL_EXPBONUS	EXP +%d%%
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +%d%%
TOOLTIP_MALL_EXPBONUS_STATIC	50% in più EXP
TOOLTIP_MALL_FISH_MIND	La possibilità di catturare un pesce è aumentata.
TOOLTIP_MALL_GOLDBONUS	Possibilità di drop di Yang (+%d%%)
TOOLTIP_MALL_GOLDBONUS_STATIC	Doppia possibilità di drop di Yang
TOOLTIP_MALL_ITEMBONUS	Possibilità di drop di oggetti (+%d%%)
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Possibilità sul razziare oggetti più %.1f%%
TOOLTIP_MALL_ITEMBONUS_STATIC	Doppia possibilità di drop di oggetti
TOOLTIP_MALL_MARRIAGE_FAST	Punti amore aumentano più veocemente.
TOOLTIP_MALL_SAFEBOX	Più spazio a disposizione nel magazzino.
TOOLTIP_MAX_HP	Max. HP +%d
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%
TOOLTIP_MAX_SP	Max. MP +%d
TOOLTIP_MAX_SP_PCT	Max. MP +%d%%
TOOLTIP_MAX_STAMINA	Max. resistenza +%d
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS-ERRORE(%d, %d)
TOOLTIP_MOV_SPEED	Velocità movimento %d%%
TOOLTIP_NECK	Collana
TOOLTIP_NEED_ALL_SP	MP necessari: Max.
TOOLTIP_NEED_GSP	Spirito del Drago necessario: %d
TOOLTIP_NEED_HP	HP necessari: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Punti abilità necessari:
TOOLTIP_NEED_SP	MP necessari: %d
TOOLTIP_NEED_SP_PER_SEC	MP / Sec.:%d
TOOLTIP_NEXT_SKILL_LEVEL_1	Prossimo livello: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Prossimo livello: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Danni medi %d%%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Resistenza ai danni media %d%%
TOOLTIP_PARTY_INFO_GRADE_UP1	Più di %d membri del gruppo
TOOLTIP_PARTY_INFO_GRADE_UP2	Grado d'attacco +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Grado di difesa +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Ripristinare una volta in 60 minuti gli HP/MP di tutti i membri del gruppo.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Ripristinare una volta in 30 minuti gli HP/MP di tutti i membri del gruppo.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Devi aspettare 3 minuti dopo la morte del membro del gruppo.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Puoi richiamare in ogni momento i membri del gruppo che sono sul server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Grado d'attacco +(Numero dei membri/2) %d attaccanti possono essere scelti.
TOOLTIP_PARTY_INFO_SET_TANKER	Grado di difesa +(Numero dei membri del gruppo).  Può essere scelto lottatore corpo a corpo 1.
TOOLTIP_PARTY_SKILL_LEVEL	Livello attuale: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Attacco/Difesa migliorata]
TOOLTIP_PARTY_TITLE_HEAL	[Ripristina]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Per più di %d membri del gruppo c'è un Bonus EXP %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Richiama]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[scegli attaccante]
TOOLTIP_PARTY_TITLE_SET_TANKER	[annota lottatore corpo a corpo]
TOOLTIP_PICK_EXP	Punti: %d / %d
TOOLTIP_PICK_LEVEL	Livello: %d
TOOLTIP_PICK_UPGRADE1	Consegnalo al boscaiolo
TOOLTIP_PICK_UPGRADE2	per ottenere
TOOLTIP_PICK_UPGRADE3	un piccone migliore.
TOOLTIP_POTION_CURE	Annullare effetto negativo.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Velocità d'attacco: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Velocità di movimento: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MP +%d
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Durata:
TOOLTIP_REQUIREMENT_21_LEVEL	Devi aver raggiunto livello 21
TOOLTIP_REQUIREMENT_41_LEVEL	Devi aver raggiunto livello 41
TOOLTIP_REQUIREMENT_LEVEL	Devi aver raggiunto livello %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Livello %d necessario
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necessario
TOOLTIP_RESIST_BOW	Resistenza freccia %d%%
TOOLTIP_RESIST_ELEC	Resistenza lampo %d%%
TOOLTIP_RESIST_FIRE	Resistenza fuoco %d%%
TOOLTIP_RESIST_MAGIC	Resistenza magia %d%%
TOOLTIP_REST_USABLE_COUNT	Rimane: %d
TOOLTIP_SELLPRICE	Prezzo %s
TOOLTIP_SHAMAN	Shamana
TOOLTIP_SHIELD	Scudo
TOOLTIP_SHOES	Scarpe
TOOLTIP_SKILL	Abilità
TOOLTIP_SKILLBOOK_NAME	Libro dell'abilità
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valore d'attacco: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valore d'attacco:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Velocità d'attacco: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Difesa:
TOOLTIP_SKILL_AFFECT_DODGE	Valore d'attacco avversario: -
TOOLTIP_SKILL_AFFECT_HEAL	ripristinare HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Velocità di movimento: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Possibilità di riflettere un attacco corporale:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistenza ai danni corporali:
TOOLTIP_SKILL_COOL_TIME	Tempo di ricarica: 
TOOLTIP_SKILL_DAMAGE_BONUS	Danni abilità %d%%
TOOLTIP_SKILL_DEFEND_BONUS	Resistenza contro i danni abilità %d%%
TOOLTIP_SKILL_DURATION	Durata: %d Sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Nastro dell'amnesia
TOOLTIP_SKILL_LEVEL	Livello attuale: %d
TOOLTIP_SKILL_LEVEL_MASTER	Livello attuale: %d (Maestro)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Livello attuale: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Vuoto
TOOLTIP_SOCKET_REFINABLE_ITEM	[Oggetto con montatura]
TOOLTIP_SP_REGEN	Rigenerazione MP +%d%%
TOOLTIP_STR	Forza +%d
TOOLTIP_SURA	Sura
TOOLTIP_UNIQUE	Unico
TOOLTIP_WARRIOR	Guerriero
TOOLTIP_WEAPON	Arma
TOOLTIP_WRISTLET	Bracciale
UI_ACCEPT	Accetta
UI_CANCEL	Interrompi
UI_CLOSE	Chiudi
UI_DEF_FONT	Arial:14
UI_DEF_FONT_LARGE	Arial:16
UI_DEF_FONT_SMALL	Arial:12
UI_DENY	Rifiuta
UI_ITEM	Oggetto
UI_LEFT_TIME	Tempo rimanente: %d sec.
UI_NEXT	Avanti
UI_NEXTPAGE	Continua
UI_NOCONTENTS	Nessun contenuto
UI_NONAME	Nessun nome
UI_OK	Ok
UI_POS_UNKNOWN	Luogo sconosciuto
UI_PREVPAGE	Indietro
UI_UNKNOWN	Sconosciuto
UPLOAD_MARK_CHECK_NEED_RECONNECT	Rifai l'upload
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Rifai l'upload
USE_ITEM_FAILURE_PRIVATE_SHOP	Non puoi usare degli oggetti se hai un negozio privato aperto.
USE_SKILL_ERROR_UNKNOWN	Errore abilità sconosciuto: %s
