AFF_LOVE_POINT	Szerelem pont: %d%%
SKILL_INMA	SKILL_INMA Nincs többé használatban
SKILL_JEOJU	Átok
SKILL_JEONGEOP	Gyógyít
SKILL_JEONGWI	Harci mámor
SKILL_JEONSINBANGEO	Teljes védelem
SKILL_JEONSINGONGGYEOK	Totális támadás
SKILL_JEUNGCHE	SKILL_JEUNGCHE Nincs többé használatban
SKILL_JEUNGHON	SKILL_JEUNGHON Nincs többé használatban
SKILL_JEUNGRYEOK	Támadás +
SKILL_JEUNGSOK	Sebesség +
SKILL_JIGAM	SKILL_JIGAM Nincs többé használatban
SKILL_JIPJUNG	SKILL_JIPJUNG Nincs többé használatban
SKILL_JUMAGAP	Elvarázsolt felszerelés
SKILL_JUMAGEOM	SKILL_JUMAGEOM Nincs többé használatban
SKILL_KWAEGEOM	SKILL_KWAEGEOM Nincs többé használatban
SKILL_KWAESOK	Gyorsaság
SKILL_LEGBOUND	SKILL_LEGBOUND Nincs többé használatban
SKILL_MUSA	SKILL_MUSA Nincs többé használatban
SKILL_MUYEONG	Láng szelleme
SKILL_NEED_EMPTY_BOTTLE	Nincs üres üvegem.
SKILL_NEED_POISON_BOTTLE	Nincs méregüvegem.
SKILL_ONLY_FOR_GUILD_WAR	Ezt a készséget csak céhháborúban kamatoztathatod.
SKILL_PABEOP	Varázslat érvénytelenítés
SKILL_POWERFUL_STRIKE	Kábult támadás	
SKILL_SEOMGWANG	Villám bomba
SKILL_SINCHAK	SKILL_SINCHAK Nincs többé használatban
SKILL_SLEEP	Alvás
SKILL_SLOW	Lassan
SKILL_STUN	Elkábít
SKILL_SUHO	Õr
SKILL_SUMMON_DESCRIPTION	Felidézés esélye: %d%%
SKILL_TOOLTIP_INT	Intelligencia
SKILL_TOOLTIP_LEVEL	Szint
SKILL_TOXICDIE	Mérgezés
SKILL_TOXICPOWER	Méregtámadás fokozva
SKILL_TUSOK	Szellem ütés
SKILL_WONSIN	SKILL_WONSIN Nincs többé használatban
SKILL_YONGSIN	SKILL_YONGSIN Nincs többé használatban
STAT_MINUS_CON	Életenergia beállítás (maradék esély: %d)
STAT_MINUS_DEX	Förgeség beállítás (maradék esély: %d)
STAT_MINUS_INT	Intelligencia beállítás (maradék esély: %d)
STAT_MINUS_STR	Erõ beállítás (maradék esély: %d)
STAT_TOOLTIP_CON	TP és a védelem javult
STAT_TOOLTIP_DEX	Pontosság és az átok javult
STAT_TOOLTIP_INT	MP és a Mágikus Erõ fel lett javítva.
STAT_TOOLTIP_STR	Támadóérték javul
SYMBOLLIST_TITLE	Céh zászló bejelentés
SYSTEM_OPTION_CPU_TILING_1	CPU-tiling módban a gyengébb PC sebessége fokozható.
SYSTEM_OPTION_CPU_TILING_2	Grafikai problémák esetén válaszd a 'Rendszer tulajdonságokat' vagy a CONFIG.exe-t.
SYSTEM_OPTION_CPU_TILING_3	és válts GPU-tiling módra.
SYSTEM_OPTION_GPU_TILING_1	A GPU-tiling mód egy gyengébb PC-n lassan futhat
SYSTEM_OPTION_GPU_TILING_2	Grafikai problémák esetén válaszd a 'Rendszer tulajdonságokat' vagy a CONFIG.exe-t.
SYSTEM_OPTION_GPU_TILING_3	és válts CPU-tiling módra.
SYSTEM_OPTION_TILING_EXIT	Tiling módra való váltáshoz be kell fejezni a játékot.
TARGET_BUTTON_ACCEPT_FIGHT	Egyetért
TARGET_BUTTON_AVENGE	Bosszú
TARGET_BUTTON_BUILDING_DESTROY	Elpusztít
TARGET_BUTTON_DISMOUNT	Leszáll
TARGET_BUTTON_EMOTION_ALLOW	Érzelmek
TARGET_BUTTON_EXCHANGE	Kereskedés
TARGET_BUTTON_EXCLUDE	Kizár
TARGET_BUTTON_EXIT_OBSERVER	Megfigyelõ mód vége
TARGET_BUTTON_FIGHT	Párbaj
TARGET_BUTTON_FRIEND	Barát
TARGET_BUTTON_INVITE_GUILD	Céh meghívás
TARGET_BUTTON_INVITE_PARTY	Csoport meghívás
TARGET_BUTTON_LEAVE_PARTY	Csoport elhagyása
TARGET_BUTTON_REQUEST_ENTER_PARTY	Belépés a csoportba
TARGET_BUTTON_VIEW_EQUIPMENT	Felszerelés
TARGET_BUTTON_WHISPER	Suttogni
TARGET_LEVEL_BOSS	Fõnök
TARGET_LEVEL_KING	5. szint
TARGET_LEVEL_KNIGHT	3. szint
TARGET_LEVEL_PAWN	1. szint
TARGET_LEVEL_S_KNIGHT	4. szint
TARGET_LEVEL_S_PAWN	2. szint
TASKBAR_ATTACK	Támadni
TASKBAR_AUTO	Autom.
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Tapasztalat
TASKBAR_HP	TP
TASKBAR_MOVE	Mozogni
TASKBAR_SKILL	Készség
TASKBAR_SP	MP
TASKBAR_ST	KP
THING_COUNT	minden
TOOLTIP_ANTI_SELL	Nem lehet eladni a boltban.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Állatok elleni erõ +%d%%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Nindzsák elleni erõ +%d%%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Ördög elleni erõ +%d%%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Félemeberek elleni erõ +%d%%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Ezotéria elleni erõ +%d%%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Szörny elleni erõ +%d%%
TOOLTIP_APPLY_ATTBONUS_ORC	Ork elleni erõ +%d%%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Sámánok elleni erõ +%d%%
TOOLTIP_APPLY_ATTBONUS_SURA	Sura elleni erõ +%d%%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Nemhalottak elleni erõ +%d%%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Harcosok elleni erõ +%d%%
TOOLTIP_APPLY_BLOCK	Esély a testi támadás kivédésére %d%%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	MP-t a háborúban 5 másodpercenként visszaállít %d
TOOLTIP_APPLY_CRITICAL_PCT	%d%% esély kritikus találatra
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% esély, hogy az MP-t találatnál megtartsd
TOOLTIP_APPLY_DODGE	Esély a nyilak elkerülésére %d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% esély EXP bónuszra
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% esély dupla mennyiségû Yang eldobására
TOOLTIP_APPLY_IMMUNE_FALL	Immunis a leesésre
TOOLTIP_APPLY_IMMUNE_SLOW	Immunis a lelassulás ellen.
TOOLTIP_APPLY_IMMUNE_STUN	Immunis az ájulás ellen
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% esély, dupla mennyiségû tárgy eldobására
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% esély, TP visszaállítására
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% esély, MP visszaállítására
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% esély, az ellenség Mp-inek átvételére
TOOLTIP_APPLY_NOAFFECT	Nincs hatás
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nem vész el tapasztalat pont ha a karakter újjáéled a holttesténél.
TOOLTIP_APPLY_PENETRATE_PCT	%d%% esély, átható találatra
TOOLTIP_APPLY_POISON_PCT	Mérgezési esély: %d%%
TOOLTIP_APPLY_POISON_REDUCE	Méreg ellenállás %d%%
TOOLTIP_APPLY_POTION_BONUS	Ital %d%% hatásnövekedés
TOOLTIP_APPLY_REFLECT_CURSE	%d%% esély, az átok visszaverésére
TOOLTIP_APPLY_REFLECT_MELEE	%d%% esély, közvetlen testi támadás visszaverésére
TOOLTIP_APPLY_RESIST_ASSASSIN	Védelmi esély nindzsatámadás ellen %d%%
TOOLTIP_APPLY_RESIST_BELL	Harang védelem %d%%
TOOLTIP_APPLY_RESIST_DAGGER	Tõr védekezés %d%%
TOOLTIP_APPLY_RESIST_FAN	Legyezõ védekezés %d%%
TOOLTIP_APPLY_RESIST_SHAMAN	Védekezési esély sámántámadás ellen %d%%
TOOLTIP_APPLY_RESIST_SURA	Védekezési esély Sura támadás ellen %d%%
TOOLTIP_APPLY_RESIST_SWORD	Kard védelem %d%%
TOOLTIP_APPLY_RESIST_TWOHAND	Kétkezes védelem %d%%
TOOLTIP_APPLY_RESIST_WARRIOR	Védekezési esély harcos támadás ellen %d%%
TOOLTIP_APPLY_RESIST_WIND	Szél ellenállás %d%%
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Könyvbõl tanulás esélyének növelése 2,5-szeresére 
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Ha nem sikerül a tanulás, még egyet elolvashatsz
TOOLTIP_APPLY_SLOW_PCT	Lelassulás esélye: %d%%
TOOLTIP_APPLY_STEAL_HP	Veszteségek %d%% a TP-bõl eltûnnek.
TOOLTIP_APPLY_STEAL_SP	Veszteségek %d%% az MP-bõl eltûnnek.
TOOLTIP_APPLY_STUN_PCT	Ájulási esély: %d%%
TOOLTIP_ARMOR	Felszerelés
TOOLTIP_ARROW	Nyíl
TOOLTIP_ASSASSIN	Nindzsa
TOOLTIP_ATT_GRADE	Támadó érték +%d
TOOLTIP_ATT_SPEED	Támadó sebesség +%d%%
TOOLTIP_BOW_DISTANCE	Íjjász hatótávolság +%dm
TOOLTIP_BUYPRICE	Ár: %s
TOOLTIP_CAST_SPEED	Varázs sebesség +%d%%
TOOLTIP_CON	Életerõ +%d
TOOLTIP_DEF_GRADE	Védekezés +%d
TOOLTIP_DEX	Mozgási képesség +%d
TOOLTIP_EAR	Fülbevaló
TOOLTIP_ETC	Stb.
TOOLTIP_FISHINGROD_EXP	Pont: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Szint: %d
TOOLTIP_FISHINGROD_UPGRADE1	A halásznak adni
TOOLTIP_FISHINGROD_UPGRADE2	hogy egy jobb
TOOLTIP_FISHINGROD_UPGRADE3	horgászbotot adjon
TOOLTIP_FISH_LEN	Hossz: %.2fcm
TOOLTIP_HELMET	Sisak
TOOLTIP_HP_REGEN	TP regenerálódás +%d%%
TOOLTIP_INT	Intelligencia +%d
TOOLTIP_ITEM_ATT_GRADE	Támadó érték %d
TOOLTIP_ITEM_ATT_POWER	Támadó érték %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Támadó érték %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Támadó érték %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Támadó sebesség %s
TOOLTIP_ITEM_DEF_GRADE	Védelem %d
TOOLTIP_ITEM_FAST	Gyors
TOOLTIP_ITEM_LIMIT_CON	Életerõ felsõ határ: %d
TOOLTIP_ITEM_LIMIT_DEX	Mozgási készség felsõ határ: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligencia felsõ határ: %d
TOOLTIP_ITEM_LIMIT_LEVEL	%d. szinttõl
TOOLTIP_ITEM_LIMIT_STR	Erõ felsõ határ: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Mágikus támadó érték %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Mágikus támadó érték %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Mágikus védelem %d
TOOLTIP_ITEM_NORMAL	Normál
TOOLTIP_ITEM_SLOW	Lassú
TOOLTIP_ITEM_VERY_FAST	Nagyon gyors
TOOLTIP_ITEM_VERY_SLOW	Nagyon lassú
TOOLTIP_ITEM_WEARABLE_JOB	[ Felszerelhetõ ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Szerencseszám: %d
TOOLTIP_MAGIC_ATT_GRADE	Mágikus támadó érték +%d
TOOLTIP_MAGIC_DEF_GRADE	Mágikus védelem +%d
TOOLTIP_MALL_ATTBONUS	Támadó érték +%d%%
TOOLTIP_MALL_ATTBONUS_STATIC	Támadó érték +12~15%
TOOLTIP_MALL_AUTOLOOT	Automatikusan felszedi a Yangokat.
TOOLTIP_MALL_DEFBONUS	Védekezés +%d%%
TOOLTIP_MALL_DEFBONUS_STATIC	Védekezés +12~15%
TOOLTIP_MALL_EXPBONUS	EXP +%d%%
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bónusz +%d%%
TOOLTIP_MALL_EXPBONUS_STATIC	50%-kal több EXP
TOOLTIP_MALL_FISH_MIND	A halfogás esélye megnõtt.
TOOLTIP_MALL_GOLDBONUS	Yang eldobási esély (+%d%%)
TOOLTIP_MALL_GOLDBONUS_STATIC	Dupla Yang eldobási esély
TOOLTIP_MALL_ITEMBONUS	Tárgy ledobási esély (+%d%%)
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe tárgy zsákmányolási esély plusz %.1f%%
TOOLTIP_MALL_ITEMBONUS_STATIC	Dupla tárgy eldobási esély
TOOLTIP_MALL_MARRIAGE_FAST	Gyorsabban nõnek az életpontok.
TOOLTIP_MALL_SAFEBOX	Nagyobb raktártér áll rendelkezésre.
TOOLTIP_MAX_HP	Max. TP +%d
TOOLTIP_MAX_HP_PCT	Max. TP +%d%%
TOOLTIP_MAX_SP	Max. MP +%d
TOOLTIP_MAX_SP_PCT	Max. MP +%d%%
TOOLTIP_MAX_STAMINA	Max. Kitartás +%d
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS HIBA(%d, %d)
TOOLTIP_MOV_SPEED	Mozgási sebesség %d%%
TOOLTIP_NECK	Nyaklánc
TOOLTIP_NEED_ALL_SP	Szükséges MP: Max.
TOOLTIP_NEED_GSP	Szükslges sárkány szellem: %d
TOOLTIP_NEED_HP	Szükséges TP: %d
TOOLTIP_NEED_HP_PER_SEC	TP: %d / mp
TOOLTIP_NEED_SKILL_POINT	Szükséges készség pont:
TOOLTIP_NEED_SP	Szükséges MP: %d
TOOLTIP_NEED_SP_PER_SEC	MP: %d / mp
TOOLTIP_NEXT_SKILL_LEVEL_1	Következõ szint: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Következõ szint: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Átlagos károk %d%%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Átlagos veszteség ellenállás %d%%
TOOLTIP_PARTY_INFO_GRADE_UP1	Több, mint %d csoporttag
TOOLTIP_PARTY_INFO_GRADE_UP2	Támadási szint +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Védelmi szint +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Minden csoporttag TP/MP helyreállítása egyszer 60 percen belül.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Minden csoporttag TP/MP helyreállítása 30 percen belül egyszer.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	3 percet kell várnod a csoporttag halála után.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Bármikor hívhatsz ugyanarról a szerverrõl csoporttagokat.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Támadó szint +(csoporttagok száma/2) támadót %d lehet kiválasztani.
TOOLTIP_PARTY_INFO_SET_TANKER	Védelmi szint +(csoporttagok száma) 1 közelharcost lehet kiválasztani.
TOOLTIP_PARTY_SKILL_LEVEL	Aktuális szint: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Támadás/Védekezés javul]
TOOLTIP_PARTY_TITLE_HEAL	[Újrateremt]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Több, mint %d csoporttag esetén %d%% EXP bónusz jár.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[EXP bónusz]
TOOLTIP_PARTY_TITLE_RECALL	[Idehív]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Támadó kinevezés]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Közelharcos Beállítás]
TOOLTIP_PICK_EXP	Pont: %d / %d
TOOLTIP_PICK_LEVEL	Szint: %d
TOOLTIP_PICK_UPGRADE1	A favágónak add
TOOLTIP_PICK_UPGRADE2	hogy egy jobb
TOOLTIP_PICK_UPGRADE3	csákányt csináljon belõle
TOOLTIP_POTION_CURE	Negatív hatások visszaállítása.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Támadó sebesség: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	TP: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	TP: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Mozgási sebesség: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MP: +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MP: +%d
TOOLTIP_POTION_SEC	mp.
TOOLTIP_POTION_TIME	Idõtartama:
TOOLTIP_REQUIREMENT_21_LEVEL	21-es szintet el kell érned
TOOLTIP_REQUIREMENT_41_LEVEL	41-es szintet el kell érned
TOOLTIP_REQUIREMENT_LEVEL	%d. szintet el kell érned
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s szint %d szükséges
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d szükséges
TOOLTIP_RESIST_BOW	Nyíl ellenállás %d%%
TOOLTIP_RESIST_ELEC	Villám ellenállás %d%%
TOOLTIP_RESIST_FIRE	Tûz ellenállás %d%%
TOOLTIP_RESIST_MAGIC	Mágia ellenállás %d%%
TOOLTIP_REST_USABLE_COUNT	Maradék: %d
TOOLTIP_SELLPRICE	Ár: %s
TOOLTIP_SHAMAN	Sámán
TOOLTIP_SHIELD	Vért
TOOLTIP_SHOES	Cipõ
TOOLTIP_SKILL	Készség
TOOLTIP_SKILLBOOK_NAME	Készség könyv
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Támadó érték: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Támadó érték:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Támadó sebesség: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Védelem:
TOOLTIP_SKILL_AFFECT_DODGE	Ellenséges támadó érték: -
TOOLTIP_SKILL_AFFECT_HEAL	TP helyreállítás:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Mozgási sebesség: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Esély a testi támadás visszavágására:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Testi sérülések elleni ellenállás:
TOOLTIP_SKILL_COOL_TIME	Feltöltési idõ: 
TOOLTIP_SKILL_DAMAGE_BONUS	Készség károk %d%%
TOOLTIP_SKILL_DEFEND_BONUS	Készség károkkal szembeni ellenállás %d%%
TOOLTIP_SKILL_DURATION	Idõtartama: %d mp.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Feledés szalagja
TOOLTIP_SKILL_LEVEL	Aktuális szint: %d
TOOLTIP_SKILL_LEVEL_MASTER	Aktuális szint: %d (mester)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Aktuális szint: %d (max. %d)
TOOLTIP_SOCKET_EMPTY	Üres
TOOLTIP_SOCKET_REFINABLE_ITEM	[Tárgy foglalattal]
TOOLTIP_SP_REGEN	MP-Regenerálódás +%d%%
TOOLTIP_STR	Erõ +%d
TOOLTIP_SURA	Sura
TOOLTIP_UNIQUE	Egyedüli
TOOLTIP_WARRIOR	Harcos
TOOLTIP_WEAPON	Fegyver
TOOLTIP_WRISTLET	Csuklópánt
UI_ACCEPT	Elfogad
UI_CANCEL	Megszakít
UI_CLOSE	Bezár
UI_DEF_FONT	Arial:14
UI_DEF_FONT_LARGE	Arial:16
UI_DEF_FONT_SMALL	Arial:12
UI_DENY	Elutasít
UI_ITEM	Tárgy
UI_LEFT_TIME	Maradék idõ: %d mp.
UI_NEXT	Tovább
UI_NOCONTENTS	Nincs tartalom
UI_NONAME	Nincs név
UI_OK	OK
UI_POS_UNKNOWN	Ismeretlen hely
UI_UNKNOWN	Ismeretlen
UPLOAD_MARK_CHECK_NEED_RECONNECT	A feltöltést még egyszer el kell indítani
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	A feltöltést még egyszer el kell indítani
USE_ITEM_FAILURE_PRIVATE_SHOP	Nem használhatod a tárgyat, ha privát boltot nyitottál.
USE_SKILL_ERROR_UNKNOWN	Ismeretlen készség hiba: %s
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Mágikus/közelharci támadás +%d%%
TOOLTIP_APPLY_BLEEDING_PCT	Vérzõ támadás + %d%%
TOOLTIP_APPLY_BLEEDING_REDUCE	Vérzõ támadás elleni ellenállás + %d%%
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Vérfarkasok elleni erõ + %d%%
TOOLTIP_APPLY_RESIST_WOLFMAN	Védekezési esély vérfarkas-támadás ellen %d%%
TOOLTIP_RESIST_MAGIC_REDUCTION	Mágikus áthatolás: %d%%
TOOLTIP_APPLY_RESIST_MAGIC_REDUCTION	Mágikus áthatolás: %d%%
TOOLTIP_RESIST_DARK	Sötétséggel szembeni ellenállás +%d%%
TOOLTIP_RESIST_EARTH	Föld ellenállás +%d%%
TOOLTIP_RESIST_ICE	Jég-ellenállás +%d%%
TOOLTIP_APPLY_ACCEDRAIN_RATE	Abszorpció mértéke: %d%%
ACCE_ABSORB_COST	Abszorpció ára: %d
ACCE_ALREADY_REGISTER	Ez a tárgy már felhasználásra került.
ACCE_DEL_ABSORDITEM	Tárgy abszorbeálása és annak megsemmisítése?
ACCE_DEL_SERVEITEM	A Pánt 2 megsemmisül, ha a kombináció sikertelen.
ACCE_DEL_SERVEITEM2	A Pánt 2 megsemmisül, ha a kombináció sikertelen.
ACCE_INITEM	Húzd a tárgyakat az ablakba.
ACCE_MAXGRADE	Ez már egyedivé lett téve.
ACCE_MAX_DRAINRATE	Max. abszorpciós mérték
ACCE_NOTABSORBITEM	Nem tudod használni azt a fegyvert vagy páncéldarabot, ami már abszorbeálva lett.
ACCE_NOT_SEALITEM	Nem használhatsz lélekhez kötött tárgyakat.
ACCE_NOT_USINGITEM	Nem kombinálhatsz felszerelt tárgyat.
ACCE_NOT_WINDOWOPEN	Nem használhatod a tárgyat, ha a kombinációs ablak meg van nyitva.
ACCE_POSSIBLE_ACCE	Csak Vállpántokat használhatsz.
ACCE_POSSIBLE_ACCEITEM	Csak fegyverekbõl és páncélokból vonhatsz ki bónuszokat.
PRIVATESHOPSEARCH_ABLITY_POTION	Harmat
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Finom kelme
PRIVATESHOPSEARCH_ARMOR	Felszerelés
PRIVATESHOPSEARCH_ARROW	Nyilak
PRIVATESHOPSEARCH_BELL	Harangok
PRIVATESHOPSEARCH_BELT	Övek
PRIVATESHOPSEARCH_BLEND	Bájitalok
PRIVATESHOPSEARCH_BLOOD_PEARL	Vérvörös gyöngy
PRIVATESHOPSEARCH_BLUE_PEARL	Kék gyöngy
PRIVATESHOPSEARCH_BODY	Vértek
PRIVATESHOPSEARCH_BOW	Íjak
PRIVATESHOPSEARCH_BUYTIME	Meg akarod venni a kiválasztott tárgyat?
PRIVATESHOPSEARCH_CLAW	Karmok
PRIVATESHOPSEARCH_CLEAR_POTION	Elixírek
PRIVATESHOPSEARCH_COSTUME	Öltözékek
PRIVATESHOPSEARCH_COSTUMEBODY	Öltözék
PRIVATESHOPSEARCH_COSTUMEHAIR	Frizura
PRIVATESHOPSEARCH_COSTUME_ACCE	Vállpántok
PRIVATESHOPSEARCH_COSTUME_MOUNT	Hátas
PRIVATESHOPSEARCH_CRYSTAL	Kristály
PRIVATESHOPSEARCH_DAGGER	Tõrök
PRIVATESHOPSEARCH_DEAD	Halott
PRIVATESHOPSEARCH_DETACHMENT	Kõ kézikönyv
PRIVATESHOPSEARCH_DIAMOND	Gyémánt
PRIVATESHOPSEARCH_DS	Sárkánykõ-alkímia
PRIVATESHOPSEARCH_DS_BLACK	Ónix
PRIVATESHOPSEARCH_DS_BLUE	Zafír
PRIVATESHOPSEARCH_DS_GREEN	Jáde
PRIVATESHOPSEARCH_DS_RED	Rubin
PRIVATESHOPSEARCH_DS_WHITE	Gyémánt
PRIVATESHOPSEARCH_DS_YELLOW	Gránát
PRIVATESHOPSEARCH_EAR	Fülbevalók
PRIVATESHOPSEARCH_FAN	Legyezõk
PRIVATESHOPSEARCH_FISH	Halak
PRIVATESHOPSEARCH_FOOTS	Lábbelik
PRIVATESHOPSEARCH_GEM	Drágakövek
PRIVATESHOPSEARCH_GIFTBOX	Ajándékdobozok
PRIVATESHOPSEARCH_HEAD	Sisakok
PRIVATESHOPSEARCH_LIVE	Élõ
PRIVATESHOPSEARCH_MATERIAL	Anyagok
PRIVATESHOPSEARCH_METIN	Szellemkövek
PRIVATESHOPSEARCH_NECK	Nyakláncok
PRIVATESHOPSEARCH_NODELAY_POTION	TP-tárgyak
PRIVATESHOPSEARCH_ORE	Érc
PRIVATESHOPSEARCH_PET	Házikedvenc-rendszer
PRIVATESHOPSEARCH_PETAGG	Házikedvenc tojások
PRIVATESHOPSEARCH_PETSKILLBOOK	Házikedvenc készségkönyvek
PRIVATESHOPSEARCH_PICK	Csákányok
PRIVATESHOPSEARCH_POTION	Bájitalok
PRIVATESHOPSEARCH_QUEST	Küldetés
PRIVATESHOPSEARCH_QUIVER	Tegezek
PRIVATESHOPSEARCH_RESOURCE	Tárgy feljavítás
PRIVATESHOPSEARCH_ROD	Horgászbotok
PRIVATESHOPSEARCH_SELECTITEM	Kiválasztott tárgy
PRIVATESHOPSEARCH_SHIELD	Pajzsok
PRIVATESHOPSEARCH_SKILLBOOK	Készségkönyvek
PRIVATESHOPSEARCH_SKILLFORGET	Feledés könyve
PRIVATESHOPSEARCH_SPECIAL	Egyebek
PRIVATESHOPSEARCH_STONE	Energia-töredékek
PRIVATESHOPSEARCH_SWORD	Egykezes kardok
PRIVATESHOPSEARCH_TREASUREBOX	Ládák
PRIVATESHOPSEARCH_TUNING	Tekercsek
PRIVATESHOPSEARCH_TWOSWORD	Kétkezes kardok
PRIVATESHOPSEARCH_UNIQUE	Egyedi
PRIVATESHOPSEARCH_USEITEM	Kellékek
PRIVATESHOPSEARCH_USESPECIAL	Egyebek
PRIVATESHOPSEARCH_WEAPON	Fegyverek
PRIVATESHOPSEARCH_WHITE_PEARL	Fehér gyöngy
PRIVATESHOPSEARCH_WRIST	Karkötõk
PRIVATE_SHOP_CANNOT_SELL_ITEM	Ezt a tárgyat nem adhatod el magán boltban.
PRIVATE_SHOP_CLOSE_QUESTION	Szeretnéd bezárni a magán boltod?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	A magánbolt neve
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Ár
DRAGON_SOUL_CANNOT_REFINE	Ezt a Sárkánykövet nem lehet finomítani.
DRAGON_SOUL_CANNOT_REFINE_MORE	Ez a Sárkánykõ már elérte a legmagasabb szintet.
DRAGON_SOUL_EQUIP_WARNING1	Nehéz eltávolítani a Sárkánykövet, ha már egyszer csatolva lett.
DRAGON_SOUL_EQUIP_WARNING2	Még mindig folytatni szeretnéd?
DRAGON_SOUL_EXPIRED	Lejárt Sárkánykõ
DRAGON_SOUL_INVALID_DRAGON_SOUL	Itt a rossz Sárkánykõ.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Ez nem Sárkánykõ.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Ez nem a megfelelõ Sárkánykõ.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nincs elegendõ anyagod a nemesítéshez.
DRAGON_SOUL_NOT_MATCHED_SLOT	A Sárkánykõ nem illik ebbe a foglalatba.
DRAGON_SOUL_STEP_LEVEL1	Tisztaság: matt,
DRAGON_SOUL_STEP_LEVEL2	Tisztaság: tiszta,
DRAGON_SOUL_STEP_LEVEL3	Tisztaság: hibátlan,
