AFF_LOVE_POINT	Puntos de amor: %d%%
SKILL_LEGBOUND	SKILL_LEGBOUND No se usa más
SKILL_MUSA	SKILL_MUSA No se usa más
SKILL_MUYEONG	Espíritu de la llama
SKILL_NEED_EMPTY_BOTTLE	No tengo una botella vacia.
SKILL_NEED_POISON_BOTTLE	No tengo una botella de veneno
SKILL_ONLY_FOR_GUILD_WAR	Sólo puedes usar esta habilidad durante una Guerra de Gremios.
SKILL_PABEOP	Hechizo neutralizador
SKILL_POWERFUL_STRIKE	Ataque deslumbrante
SKILL_SEOMGWANG	Bomba Relámpago
SKILL_SINCHAK	SKILL_SINCHAK No se usa más
SKILL_SLEEP	Dormir
SKILL_SLOW	Retardo
SKILL_STUN	Apagón
SKILL_SUHO	Guardar
SKILL_SUMMON_DESCRIPTION	Probabilidad de evocación: %d%%
SKILL_TOOLTIP_INT	Inteligencia
SKILL_TOOLTIP_LEVEL	Nivel
SKILL_TOXICDIE	Envenenamiento
SKILL_TOXICPOWER	Valor de ataque venenoso aumentado
SKILL_TUSOK	Golpe fantasma
SKILL_WONSIN	SKILL_WONSIN no se usa más
SKILL_YONGSIN	SKILL_YONGSIN no se usa más
STAT_MINUS_CON	Ajuste de energía de vida (Resto de probabilidad: %d)
STAT_MINUS_DEX	Ajuste de destreza (Resto de probabilidad: %d)
STAT_MINUS_INT	Ajuste de inteligencia (Resto de probabilidad: %d)
STAT_MINUS_STR	Ajuste de fuerza (Resto de probabilidad: %d)
STAT_TOOLTIP_CON	HP y defensa fueron mejorados.
STAT_TOOLTIP_DEX	Precisión y Evasión fueron mejorados.
STAT_TOOLTIP_INT	MP y poder mágico serán mejorados.
STAT_TOOLTIP_STR	Valor de ataque mejorado.
SYMBOLLIST_TITLE	Registrar bandera de gremio
SYSTEM_OPTION_CPU_TILING_1	El modo sin superposición de la CPU puede mejorar la velocidad de un PC más débil.
SYSTEM_OPTION_CPU_TILING_2	Si hay problemas con los gráficos selecciona 'Opción del Sistema' o 'CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	y cambia a Modo GPU Sin Superposición.
SYSTEM_OPTION_GPU_TILING_1	El Modo GPU Sin Superposición puede ir lento en un PC débil.
SYSTEM_OPTION_GPU_TILING_2	Si tienes problemas con los gráficos elige 'Opción del Sistema' o 'CONFIG.exe'
SYSTEM_OPTION_GPU_TILING_3	y cambia a Modo GPU Sin Superposición
SYSTEM_OPTION_TILING_EXIT	Para cambiar al Modo Sin Superposición debe reiniciarse el juego.
TARGET_BUTTON_ACCEPT_FIGHT	Aceptar
TARGET_BUTTON_AVENGE	Vengar
TARGET_BUTTON_BUILDING_DESTROY	Destruir
TARGET_BUTTON_DISMOUNT	Desmontar
TARGET_BUTTON_EMOTION_ALLOW	Emociones
TARGET_BUTTON_EXCHANGE	Comercio
TARGET_BUTTON_EXCLUDE	Excluir
TARGET_BUTTON_EXIT_OBSERVER	Finalizar modo observador
TARGET_BUTTON_FIGHT	Duelo
TARGET_BUTTON_FRIEND	Amigo
TARGET_BUTTON_INVITE_GUILD	Invitación de Gremio
TARGET_BUTTON_INVITE_PARTY	Invitación de Grupo
TARGET_BUTTON_LEAVE_PARTY	Salir del Grupo
TARGET_BUTTON_REQUEST_ENTER_PARTY	Entrar en grupo
TARGET_BUTTON_VIEW_EQUIPMENT	Armadura
TARGET_BUTTON_WHISPER	Conversación
TARGET_LEVEL_BOSS	Jefe
TARGET_LEVEL_KING	Nivel 5.
TARGET_LEVEL_KNIGHT	Nivel 3.
TARGET_LEVEL_PAWN	Nivel 1.
TARGET_LEVEL_S_KNIGHT	Nivel 4.
TARGET_LEVEL_S_PAWN	Nivel 2.
TASKBAR_ATTACK	Ataque
TASKBAR_AUTO	Automático
TASKBAR_CAMERA	Cámara
TASKBAR_EXP	Experiencia
TASKBAR_HP	HP
TASKBAR_MOVE	Mover
TASKBAR_SKILL	Habilidad
TASKBAR_SP	SP
TASKBAR_ST	ST
THING_COUNT	todo
TOOLTIP_ANTI_SELL	No puede ser vendido en un almacén.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Fuerza contra Animales +%d%%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Fuerza contra Ninjas +%d%%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Fuerza contra Demonio +%d%%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Fuerza contra Medio Humanos +%d%%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Fuerza contra Místicos +%d%%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Fuerza contra Monstruo +%d%%
TOOLTIP_APPLY_ATTBONUS_ORC	Fuerza contra Orcos +%d%%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Fuerza contra Chamanes +%d%%
TOOLTIP_APPLY_ATTBONUS_SURA	Fuerza contra Sura +%d%%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Fuerza contra Nomuerto +%d%%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Fuerza contra Guerrero +%d%%
TOOLTIP_APPLY_BLOCK	Probabilidad de bloquear Ataques al Cuerpo %d%%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recuperar SP cada 5 segundos en una Batalla %d
TOOLTIP_APPLY_CRITICAL_PCT	%d%% Probabilidad de Golpes críticos
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Probabilidad de recuperar SP al golpear
TOOLTIP_APPLY_DODGE	Probabilidad de evitar Flechas %d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Probabilidad de bonus EXP
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Proibabilidad de caer doble Yang
TOOLTIP_APPLY_IMMUNE_FALL	Inmune contra caídas.
TOOLTIP_APPLY_IMMUNE_SLOW	Defensa contra retardo
TOOLTIP_APPLY_IMMUNE_STUN	Defensa contra apagones
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Probabilidad de caer doble de Objetos
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Probabilidad para recuperar HP
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Probabilidad para restaurar SP
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Probabilidad para coger el SP del enemigo
TOOLTIP_APPLY_NOAFFECT	Sin efecto.
TOOLTIP_APPLY_NO_DEATH_PENALTY	No se perderán puntos de experiencia si tu personaje revive en el lugar de la muerte.
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Probabilidad de Golpes de penetración
TOOLTIP_APPLY_POISON_PCT	Probabilidad de envenenar: %d%%
TOOLTIP_APPLY_POISON_REDUCE	Resistencia a Veneno %d%%
TOOLTIP_APPLY_POTION_BONUS	Poción %d%% aumento de efecto
TOOLTIP_APPLY_REFLECT_CURSE	Probabilidad de reflectar Maldición: %d%%
TOOLTIP_APPLY_REFLECT_MELEE	Probabilidad de reflectar Golpe directo al cuerpo: %d%%
TOOLTIP_APPLY_RESIST_ASSASSIN	Opción de defensa contra ataques Ninjas: %d%%
TOOLTIP_APPLY_RESIST_BELL	Defensa Campana %d%%
TOOLTIP_APPLY_RESIST_DAGGER	Defensa Daga %d%%
TOOLTIP_APPLY_RESIST_FAN	Defensa Fan %d%%
TOOLTIP_APPLY_RESIST_SHAMAN	Opción de defensa contra ataques Chamán: %d%%
TOOLTIP_APPLY_RESIST_SURA	Opción de defensa contra ataques Suras: %d%%
TOOLTIP_APPLY_RESIST_SWORD	Defensa Espada %d%%
TOOLTIP_APPLY_RESIST_TWOHAND	Defensa Dos Manos %d%%
TOOLTIP_APPLY_RESIST_WARRIOR	Opción de defensa contra ataques Guerreros: %d%%
TOOLTIP_APPLY_RESIST_WIND	Resistencia Viento %d%%
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Probabilidad de apreder de libros mejorada por factor 2.5 .
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	La Maldición del Fantasma Maléfico puede ser levantada si falla el apredizaje. 
TOOLTIP_APPLY_SLOW_PCT	Probabilidad de Retardar: %d%%
TOOLTIP_APPLY_STEAL_HP	El daño de %d%% será absorbido por HP.
TOOLTIP_APPLY_STEAL_SP	El daño de %d%% será absorbido por SP.
TOOLTIP_APPLY_STUN_PCT	Probabilidad de un Apagón.: %d%%
TOOLTIP_ARMOR	Armadura
TOOLTIP_ARROW	Flecha
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valor de Ataque +%d
TOOLTIP_ATT_SPEED	Velocidad de Ataque +%d%%
TOOLTIP_BOW_DISTANCE	Alcance de Arco +%dm
TOOLTIP_BUYPRICE	Precio: %s
TOOLTIP_CAST_SPEED	Velocidad de Hechizo +%d%%
TOOLTIP_CON	Energía de Vida +%d
TOOLTIP_DEF_GRADE	Defensa +%d
TOOLTIP_DEX	Destreza +%d
TOOLTIP_EAR	Pendientes
TOOLTIP_ETC	y así sucesivamente
TOOLTIP_FISHINGROD_EXP	Puntos %d / %d
TOOLTIP_FISHINGROD_LEVEL	Nivel: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dárselo al Pescador
TOOLTIP_FISHINGROD_UPGRADE2	para conseguir
TOOLTIP_FISHINGROD_UPGRADE3	aumentar la caña
TOOLTIP_FISH_LEN	Altura: %.2fcm
TOOLTIP_HELMET	Casco
TOOLTIP_HP_REGEN	Regeneración de HP +%d%%
TOOLTIP_INT	Inteligencia +%d
TOOLTIP_ITEM_ATT_GRADE	Valor de Ataque %d
TOOLTIP_ITEM_ATT_POWER	Valor de Ataque %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valor de Ataque %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valor de Ataque %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Velocidad de Ataque %s
TOOLTIP_ITEM_DEF_GRADE	Defensa %d
TOOLTIP_ITEM_FAST	Rápido
TOOLTIP_ITEM_LIMIT_CON	Límte superior de Energía Vital: %d
TOOLTIP_ITEM_LIMIT_DEX	Límite superior de Destreza: %d
TOOLTIP_ITEM_LIMIT_INT	Límite superior de Inteligencia: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Desde el nivel: %d
TOOLTIP_ITEM_LIMIT_STR	Límite superior de Fuerza: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valor de Ataque Mágico %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valor de Ataque Mágico %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Defensa Mágica %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Lento
TOOLTIP_ITEM_VERY_FAST	Muy rápido
TOOLTIP_ITEM_VERY_SLOW	Muy lento
TOOLTIP_ITEM_WEARABLE_JOB	[ Equipable ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Número de la suerte: %d
TOOLTIP_MAGIC_ATT_GRADE	Valor de Ataque Mágico +%d
TOOLTIP_MAGIC_DEF_GRADE	Defensa Mágica +%d
TOOLTIP_MALL_ATTBONUS	Valor de Ataque +%d%%
TOOLTIP_MALL_ATTBONUS_STATIC	Valor de Ataque +12~15%
TOOLTIP_MALL_AUTOLOOT	Una mano que recoge automáticamente el Yang tirado
TOOLTIP_MALL_DEFBONUS	Defensa +%d%%
TOOLTIP_MALL_DEFBONUS_STATIC	Defensa +12~15%
TOOLTIP_MALL_EXPBONUS	EXP +%d%%
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%d%%
TOOLTIP_MALL_EXPBONUS_STATIC	Aumenta la ganancia de EXP un 50%
TOOLTIP_MALL_FISH_MIND	Tu probabilidad de capturar un pez raro se duplica.
TOOLTIP_MALL_GOLDBONUS	Probabilidad de capturar Yang multiplicado con %d%%
TOOLTIP_MALL_GOLDBONUS_STATIC	Duplica tu probabilidad de capturar Yang
TOOLTIP_MALL_ITEMBONUS	Probabilidad de capturar objetos multiplicada con +%d%%
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Probabilidad de capturar objetos más %.1f%%
TOOLTIP_MALL_ITEMBONUS_STATIC	Duplica tus probabilidades de capturar objetos
TOOLTIP_MALL_MARRIAGE_FAST	Los Puntos de amor aumentan más rápido.
TOOLTIP_MALL_SAFEBOX	Tu almacén obtiene 2 áreas de almacenaje más
TOOLTIP_MAX_HP	Max. HP +%d
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%
TOOLTIP_MAX_SP	Max. SP +%d
TOOLTIP_MAX_SP_PCT	Max. SP +%d%%
TOOLTIP_MAX_STAMINA	Max. Resistencia +%d
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Velocidad de Movimiento %d%%
TOOLTIP_NECK	Collar
TOOLTIP_NEED_ALL_SP	SP Requerido: Max.
TOOLTIP_NEED_GSP	Fantasma Dragón Requerido: %d
TOOLTIP_NEED_HP	HP Requerido: %d
TOOLTIP_NEED_HP_PER_SEC	HP: %d / Seg
TOOLTIP_NEED_SKILL_POINT	Puntos de Habilidad Requeridos:
TOOLTIP_NEED_SP	SP Requerido: %d
TOOLTIP_NEED_SP_PER_SEC	SP: %d / Seg
TOOLTIP_NEXT_SKILL_LEVEL_1	Siguiente Nivel: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Siguiente Nivel: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Daño de Media %d%%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Resistencia de Daño de Media %d%%
TOOLTIP_PARTY_INFO_GRADE_UP1	Más de %d Miembros de Grupo
TOOLTIP_PARTY_INFO_GRADE_UP2	Nivel de Ataque +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Nivel de Defensa +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Restaura HP/SP de todos los miembros del grupo cada 60 minutos.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Restaura HP/SP de todos los miembros del grupo cada 30 minutos
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Debes esperar 3 minutos tras la muerte de un miembro del grupo.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Puedes llamar a los miembros del grupo que están en el mismo servidor en cualquier momento.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Nivel de Ataque +(Número de miembros de grupo./2) Atacante %d puede ser elegido.
TOOLTIP_PARTY_INFO_SET_TANKER	Nivel de Defensa +(Número de miembros de grupo) luchadores con hoja 1 pueden ser elegidos.
TOOLTIP_PARTY_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Ataque/Defensa mejorada]
TOOLTIP_PARTY_TITLE_HEAL	[restaurar]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Cuando haya más de %d miembros de grupo tendrás %d%% Bonus EXP .
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Llamar]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Constituir Atacante]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Constituir Luchador con Hoja]
TOOLTIP_PICK_EXP	Puntos: %d / %d
TOOLTIP_PICK_LEVEL	Nivel: %d
TOOLTIP_PICK_UPGRADE1	Dárselo al Leñador
TOOLTIP_PICK_UPGRADE2	para conseguir
TOOLTIP_PICK_UPGRADE3	el pico mejorado
TOOLTIP_POTION_CURE	Cura efectos negativos.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Velocidad de Ataque: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Velocidad de Movimiento: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP: +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP: +%d
TOOLTIP_POTION_SEC	Seg.
TOOLTIP_POTION_TIME	Duración:
TOOLTIP_REQUIREMENT_21_LEVEL	Debes alcanzar el nivel 21.
TOOLTIP_REQUIREMENT_41_LEVEL	Debes alcanzar el nivel 41.
TOOLTIP_REQUIREMENT_LEVEL	Debes alcanzar el nivel %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Nivel %d necesario.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necesario
TOOLTIP_RESIST_BOW	Resistencia de Flechas %d%%
TOOLTIP_RESIST_ELEC	Resistencia de Relámpago %d%%
TOOLTIP_RESIST_FIRE	Resistencia de Fuego %d%%
TOOLTIP_RESIST_MAGIC	Resistencia de Magia %d%%
TOOLTIP_REST_USABLE_COUNT	Restante: %d
TOOLTIP_SELLPRICE	Precio: %s
TOOLTIP_SHAMAN	Chamán
TOOLTIP_SHIELD	Escudo
TOOLTIP_SHOES	Zapatos
TOOLTIP_SKILL	Habilidades
TOOLTIP_SKILLBOOK_NAME	Libro de Habilidad
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valor de Ataque: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valor de Ataque:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Velocidad de Ataque: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Defensa:
TOOLTIP_SKILL_AFFECT_DODGE	Valor de Ataque del Oponente: -
TOOLTIP_SKILL_AFFECT_HEAL	Restaurar HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Velocidad de Movimiento: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Probabilidad de reflejar ataques al cuerpo:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistencia contra Daños Corporales:
TOOLTIP_SKILL_COOL_TIME	Tiempo de Carga: 
TOOLTIP_SKILL_DAMAGE_BONUS	Daño de Habilidad %d%%
TOOLTIP_SKILL_DEFEND_BONUS	Resistencia contra Daño de Habilidad %d%%
TOOLTIP_SKILL_DURATION	Duración: %d Seg.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Banda de Olvido
TOOLTIP_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_SKILL_LEVEL_MASTER	Nivel actual: %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Nivel actual: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Vacío
TOOLTIP_SOCKET_REFINABLE_ITEM	[Objeto con socket]
TOOLTIP_SP_REGEN	Regeneración de SP +%d%%
TOOLTIP_STR	Fuerza +%d
TOOLTIP_SURA	Sura
TOOLTIP_UNIQUE	Único
TOOLTIP_WARRIOR	Guerrero
TOOLTIP_WEAPON	Arma
TOOLTIP_WRISTLET	Pulsera
UI_ACCEPT	Aceptar
UI_CANCEL	Cancelar
UI_CLOSE	Cerrar
UI_DEF_FONT	Arial:14
UI_DEF_FONT_LARGE	Arial:16
UI_DEF_FONT_SMALL	Arial:12
UI_DENY	Rechazar
UI_ITEM	Objeto
UI_LEFT_TIME	Tiempo restante: %d Seg.
UI_NEXT	Continuar
UI_NOCONTENTS	Ningún contenido
UI_NONAME	Sin Nombre
UI_OK	OK
UI_POS_UNKNOWN	Lugar desconocido
UI_UNKNOWN	Desconocido
UPLOAD_MARK_CHECK_NEED_RECONNECT	La carga tiene que ser iniciada de nuevo.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	La carga tiene que ser iniciada de nuevo.
USE_ITEM_FAILURE_PRIVATE_SHOP	No puedes usar este objeto porque abriste un almacén privado.
USE_SKILL_ERROR_UNKNOWN	Error de habilidad desconocido: %s
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Ataque mágico/cuerpo a cuerpo +%d%%
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Fuerza contra Lícanos + %d%%
TOOLTIP_APPLY_BLEEDING_PCT	Ataque de sangrado + %d%%
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistencia contra ataque de sangrado + %d%%
TOOLTIP_APPLY_RESIST_WOLFMAN	Probabilidad de defensa contra Lícanos %d%%
TOOLTIP_RESIST_MAGIC_REDUCTION	Aumenta la penetración mágica en un %d%%
TOOLTIP_APPLY_RESIST_MAGIC_REDUCTION	Aumenta la penetración mágica en un %d%%
TOOLTIP_RESIST_DARK	Resistencia contra oscuridad +%d%%
TOOLTIP_RESIST_EARTH	Resistencia de tierra +%d%%
TOOLTIP_RESIST_ICE	Resistencia de hielo +%d%%
TOOLTIP_APPLY_ACCEDRAIN_RATE	Grado de absorción: %d%%
ACCE_ABSORB_COST	Precio de la absorción: %d
ACCE_ALREADY_REGISTER	Este objeto ya se está utilizando.
ACCE_DEL_ABSORDITEM	¿Deseas absorber el objeto y destruirlo en el proceso?
ACCE_DEL_SERVEITEM	Si falla la combinación, la Estola 2 quedará destruida.
ACCE_DEL_SERVEITEM2	Si falla la combinación, la Estola 2 quedará destruida.
ACCE_INITEM	Arrastra los objetos a la ventana.
ACCE_MAXGRADE	Ya está personalizada.
ACCE_MAX_DRAINRATE	Grado de absorción máximo
ACCE_NOTABSORBITEM	No puedes usar un arma o armadura que ya se haya absorbido.
ACCE_NOT_SEALITEM	No puedes usar objetos que se encuentren bajo el efecto de la Unión al alma.
ACCE_NOT_USINGITEM	No puedes combinar un objeto equipado.
ACCE_NOT_WINDOWOPEN	No puedes usar el objeto mientras la ventana de combinación se encuentre abierta.
ACCE_POSSIBLE_ACCE	Solo puedes usar Estolas.
ACCE_POSSIBLE_ACCEITEM	Solo puedes extraer bonificaciones de armas y armaduras.
PRIVATESHOPSEARCH_ABLITY_POTION	Rocío
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Tela delicada
PRIVATESHOPSEARCH_ARMOR	Equipación
PRIVATESHOPSEARCH_ARROW	Flechas
PRIVATESHOPSEARCH_BELL	Campanas
PRIVATESHOPSEARCH_BELT	Cinturones
PRIVATESHOPSEARCH_BLEND	Pociones
PRIVATESHOPSEARCH_BLOOD_PEARL	Perla roja
PRIVATESHOPSEARCH_BLUE_PEARL	Perla azul
PRIVATESHOPSEARCH_BODY	Armaduras
PRIVATESHOPSEARCH_BOW	Arcos
PRIVATESHOPSEARCH_BUYTIME	¿Quieres comprar el objeto seleccionado?
PRIVATESHOPSEARCH_CLAW	Garras
PRIVATESHOPSEARCH_CLEAR_POTION	Elixires
PRIVATESHOPSEARCH_COSTUME	Atuendos
PRIVATESHOPSEARCH_COSTUMEBODY	Atuendo
PRIVATESHOPSEARCH_COSTUMEHAIR	Peinado
PRIVATESHOPSEARCH_COSTUME_ACCE	Estolas
PRIVATESHOPSEARCH_COSTUME_MOUNT	Montura
PRIVATESHOPSEARCH_CRYSTAL	Cristal
PRIVATESHOPSEARCH_DAGGER	Dagas
PRIVATESHOPSEARCH_DEAD	Muerto
PRIVATESHOPSEARCH_DETACHMENT	Manual de la piedra
PRIVATESHOPSEARCH_DIAMOND	Diamante
PRIVATESHOPSEARCH_DS	Alquimia de Piedras dragón
PRIVATESHOPSEARCH_DS_BLACK	Ónice
PRIVATESHOPSEARCH_DS_BLUE	Zafiro
PRIVATESHOPSEARCH_DS_GREEN	Jade
PRIVATESHOPSEARCH_DS_RED	Rubí
PRIVATESHOPSEARCH_DS_WHITE	Diamante
PRIVATESHOPSEARCH_DS_YELLOW	Granate
PRIVATESHOPSEARCH_EAR	Pendientes
PRIVATESHOPSEARCH_FAN	Abanicos
PRIVATESHOPSEARCH_FISH	Peces
PRIVATESHOPSEARCH_FOOTS	Zapatos
PRIVATESHOPSEARCH_GEM	Gemas
PRIVATESHOPSEARCH_GIFTBOX	Cajas de regalo
PRIVATESHOPSEARCH_HEAD	Cascos
PRIVATESHOPSEARCH_LIVE	Vivo
PRIVATESHOPSEARCH_MATERIAL	Materiales
PRIVATESHOPSEARCH_METIN	Piedras Espíritu
PRIVATESHOPSEARCH_NECK	Collares
PRIVATESHOPSEARCH_NODELAY_POTION	Objetos de HP
PRIVATESHOPSEARCH_ORE	Mineral
PRIVATESHOPSEARCH_PET	Sistema de mascotas
PRIVATESHOPSEARCH_PETAGG	Huevos de mascota
PRIVATESHOPSEARCH_PETSKILLBOOK	Manuales de habilidades para mascotas
PRIVATESHOPSEARCH_PICK	Picos
PRIVATESHOPSEARCH_POTION	Pociones
PRIVATESHOPSEARCH_QUEST	Misión
PRIVATESHOPSEARCH_QUIVER	Carcajes
PRIVATESHOPSEARCH_RESOURCE	Mejora de objetos
PRIVATESHOPSEARCH_ROD	Pesca
PRIVATESHOPSEARCH_SELECTITEM	Objeto seleccionado
PRIVATESHOPSEARCH_SHIELD	Escudos
PRIVATESHOPSEARCH_SKILLBOOK	Manuales de habilidad
PRIVATESHOPSEARCH_SKILLFORGET	Libro del olvido
PRIVATESHOPSEARCH_SPECIAL	Varios
PRIVATESHOPSEARCH_STONE	Fragmento de energía
PRIVATESHOPSEARCH_SWORD	Espadas a una mano
PRIVATESHOPSEARCH_TREASUREBOX	Baúles
PRIVATESHOPSEARCH_TUNING	Pergaminos
PRIVATESHOPSEARCH_TWOSWORD	Espadas a dos manos
PRIVATESHOPSEARCH_UNIQUE	Único
PRIVATESHOPSEARCH_USEITEM	Objetos de consumo
PRIVATESHOPSEARCH_USESPECIAL	Varios
PRIVATESHOPSEARCH_WEAPON	Armas
PRIVATESHOPSEARCH_WHITE_PEARL	Perla blanca
PRIVATESHOPSEARCH_WRIST	Brazaletes
PRIVATE_SHOP_CANNOT_SELL_ITEM	No puedes vender este objeto en la tienda privada.
PRIVATE_SHOP_CLOSE_QUESTION	¿Deseas cerrar la tienda privada?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nombre de la tienda privada.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Precio
DRAGON_SOUL_CANNOT_REFINE	No puedes refinar esta Piedra dragón.
DRAGON_SOUL_CANNOT_REFINE_MORE	Esta Piedra dragón ya ha alcanzado el mayor nivel posible.
DRAGON_SOUL_EQUIP_WARNING1	Es difícil volver a retirar una Piedra dragón.
DRAGON_SOUL_EQUIP_WARNING2	¿Quieres continuar de todas formas?
DRAGON_SOUL_EXPIRED	Piedra dragón caducada
DRAGON_SOUL_INVALID_DRAGON_SOUL	Esta no es la Piedra dragón adecuada.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Eso no es una Piedra dragón.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Esta no es la Piedra dragón correcta.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	No tienes material suficiente para refinar.
DRAGON_SOUL_NOT_MATCHED_SLOT	La Piedra dragón no encaja en esta ranura.
DRAGON_SOUL_STEP_LEVEL1	Pureza: mate.
DRAGON_SOUL_STEP_LEVEL2	Pureza: clara.
DRAGON_SOUL_STEP_LEVEL3	Pureza: límpida.
DRAGON_SOUL_STEP_LEVEL4	Pureza: brillante.
DRAGON_SOUL_STEP_LEVEL5	Pureza: excelente.
DRAGON_SOUL_STRENGTH	Nivel: +%d
DRAGON_SOUL_UNEQUIP_WARNING1	No se ha podido destruir la Piedra dragón.
DRAGON_SOUL_UNEQUIP_WARNING2	¿Quieres continuar de todas formas?
DRAGON_SOUL_UNMATCHED_SLOT	Esa es la ranura incorrecta.
DRAGON_SOUL_UNQUALIFIED	Todavía no puedes utilizar la alquimia de Piedras dragón.
TOOLTIP_ANTI_CRITICAL_PCT	Resistencia contra golpe crítico +%d%%
TOOLTIP_ANTI_PENETRATE_PCT	Resistencia contra golpe penetrante +%d%%
