AFF_LOVE_POINT	Pontos de Amor: %d%%
SKILL_JUMAGEOM	SKILL_JUMAGEOM já não é usado. - 37
SKILL_KWAEGEOM	SKILL_KWAEGEOM já não é usado - 38
SKILL_KWAESOK	Rapidez - 39
SKILL_LEGBOUND	SKILL_LEGBOUND já não é usado - 40
SKILL_MUSA	SKILL_MUSA já não é usado - 41
SKILL_MUYEONG	Espírito da Chama - 42
SKILL_NEED_EMPTY_BOTTLE	Não tenho uma Garrafa Vazia.
SKILL_NEED_POISON_BOTTLE	Não tenho uma Garrafa de Veneno.
SKILL_ONLY_FOR_GUILD_WAR	Apenas podes usar esta Habilidade durante uma Guerra de Guilds.
SKILL_PABEOP	Remover Feitiço - 43
SKILL_POWERFUL_STRIKE	Ataque Atordoante - 44
SKILL_SEOMGWANG	Bomba Relâmpago - 45
SKILL_SINCHAK	SKILL_SINCHAK já não é usado - 46
SKILL_SLEEP	Dormir - 47
SKILL_SLOW	Lento
SKILL_STUN	Atordoar
SKILL_SUHO	Guarda - 48
SKILL_SUMMON_DESCRIPTION	Probabilidade da Invocação: %d%%
SKILL_TOOLTIP_INT	Inteligência
SKILL_TOOLTIP_LEVEL	Nível
SKILL_TOXICDIE	Envenenamento - 49
SKILL_TOXICPOWER	Valor de Ataque Venenoso aumentado - 50
SKILL_TUSOK	Força do Golpe - 51
SKILL_WONSIN	SKILL_WONSIN já não é usado - 52
SKILL_YONGSIN	SKILL_YONGSIN já não é usado - 53
STAT_MINUS_CON	Ajustamento da Vitalidade (Pontos Restantes: %d)
STAT_MINUS_DEX	Ajustamento de Destreza (Pontos Restantes: %d)
STAT_MINUS_INT	Ajustamento de Inteligência (Pontos Restantes: %d)
STAT_MINUS_STR	Ajustamento de Força (Pontos Restantes: %d)
STAT_TOOLTIP_CON	VD e Defesa foram melhorados.
STAT_TOOLTIP_DEX	Precisão e Fuga foram melhorados.
STAT_TOOLTIP_INT	MN e Poder Mágico foram melhorados.
STAT_TOOLTIP_STR	Valor de Ataque melhorado.
SYMBOLLIST_TITLE	Registar Bandeira da Guild
SYSTEM_OPTION_CPU_TILING_1	CPU Tiling Mode pode melhorar a velocidade de um PC mais fraco.
SYSTEM_OPTION_CPU_TILING_2	Se existirem problemas com os gráficos, escolhe entre ,Systemoption‘ ou ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	e altera para GPU Tiling Mode.
SYSTEM_OPTION_GPU_TILING_1	GPU Tiling Mode pode tornar lento um PC mais fraco.
SYSTEM_OPTION_GPU_TILING_2	Se existirem problemas com os gráficos, escolhe entre ,Systemoption‘ ou ,CONFIG.exe‘
SYSTEM_OPTION_GPU_TILING_3	e altera para GPU Tiling Mode.
SYSTEM_OPTION_TILING_EXIT	Para alterar para Tiling Mode o jogo tem de ser reiniciado.
TARGET_BUTTON_ACCEPT_FIGHT	Concordo
TARGET_BUTTON_AVENGE	Vingança
TARGET_BUTTON_BUILDING_DESTROY	Destruir
TARGET_BUTTON_DISMOUNT	Desmontar
TARGET_BUTTON_EMOTION_ALLOW	Emoções
TARGET_BUTTON_EXCHANGE	Negociar
TARGET_BUTTON_EXCLUDE	Excluir
TARGET_BUTTON_EXIT_OBSERVER	Terminar Modo de Observação
TARGET_BUTTON_FIGHT	Duelo
TARGET_BUTTON_FRIEND	Amigo
TARGET_BUTTON_INVITE_GUILD	Convite Guild
TARGET_BUTTON_INVITE_PARTY	Convite Grupo
TARGET_BUTTON_LEAVE_PARTY	Abandonar Grupo
TARGET_BUTTON_REQUEST_ENTER_PARTY	Entrar no Grupo
TARGET_BUTTON_VIEW_EQUIPMENT	Armadura
TARGET_BUTTON_WHISPER	Segredo
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Nível 5.
TARGET_LEVEL_KNIGHT	Nível 3.
TARGET_LEVEL_PAWN	Nível 1.
TARGET_LEVEL_S_KNIGHT	Nível 4.
TARGET_LEVEL_S_PAWN	Nível 2.
TASKBAR_ATTACK	Atacar
TASKBAR_AUTO	Automático
TASKBAR_CAMERA	Câmara
TASKBAR_EXP	Experiência
TASKBAR_HP	VD
TASKBAR_MOVE	Mover
TASKBAR_SKILL	Habilidade
TASKBAR_SP	MN
TASKBAR_ST	RES
THING_COUNT	Todos
TOOLTIP_ANTI_SELL	Não pode ser vendido numa Loja Privada
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Forte contra Animais: +%d%%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Forte contra Ninjas: +%d%%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Forte contra Demónios: +%d%%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Forte contra Semi-Humanos: +%d%%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Forte contra Esotéricos: +%d%%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Forte contra Monstros: +%d%%
TOOLTIP_APPLY_ATTBONUS_ORC	Forte contra Orcs: +%d%%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Forte contra Xamãs: +%d%%
TOOLTIP_APPLY_ATTBONUS_SURA	Forte contra Suras: +%d%%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Forte contra Mortos-Vivos: +%d%%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Forte contra Guerreiros: +%d%%
TOOLTIP_APPLY_BLOCK	Chance de bloquear ataques físicos: %d%%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recuperar MN a cada 5 segundos em Batalha %d
TOOLTIP_APPLY_CRITICAL_PCT	%d%% Chance de Golpes Críticos
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Chance de recuperar MN quando atingido
TOOLTIP_APPLY_DODGE	Chance de evitar Flechas: %d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Chance de EXP Bónus
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Chance de receber Yang a dobrar
TOOLTIP_APPLY_IMMUNE_FALL	Imune contra Quedas
TOOLTIP_APPLY_IMMUNE_SLOW	Defesa contra Abrandamento
TOOLTIP_APPLY_IMMUNE_STUN	Defesa contra Atordoamento
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Chance de receber Itens a dobrar
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Chance de restaurar VD
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Chance de restaurar MN
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Chance de roubar MN ao inimigo
TOOLTIP_APPLY_NOAFFECT	Sem efeito
TOOLTIP_APPLY_NO_DEATH_PENALTY	A personagem não irá perder pontos de experiência se for reanimada no local onde morreu.
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Chance de Golpes Perfurantes
TOOLTIP_APPLY_POISON_PCT	Chance de Envenenamento: %d%%
TOOLTIP_APPLY_POISON_REDUCE	Resistência a Envenenamento: %d%%
TOOLTIP_APPLY_POTION_BONUS	O efeito da Poção %d%% aumentou.
TOOLTIP_APPLY_REFLECT_CURSE	Chance de reflectir Maldição: %d%%
TOOLTIP_APPLY_REFLECT_MELEE	Chance de reflectir ataques físicos: %d%%
TOOLTIP_APPLY_RESIST_ASSASSIN	Resistência a ataques de Ninjas: %d%%
TOOLTIP_APPLY_RESIST_BELL	Defesa contra Campainhas: %d%%
TOOLTIP_APPLY_RESIST_DAGGER	Defesa contra Punhais: %d%%
TOOLTIP_APPLY_RESIST_FAN	Defesa contra Leques: %d%%
TOOLTIP_APPLY_RESIST_SHAMAN	Resistência a ataques de Xamãs: %d%%
TOOLTIP_APPLY_RESIST_SURA	Resistência a ataques de Suras: %d%%
TOOLTIP_APPLY_RESIST_SWORD	Defesa contra Espadas: %d%%
TOOLTIP_APPLY_RESIST_TWOHAND	Defesa contra Duas Mãos: %d%%
TOOLTIP_APPLY_RESIST_WARRIOR	Resistência a ataques de Guerreiros: %d%%
TOOLTIP_APPLY_RESIST_WIND	Resistência ao Vento: %d%%
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Probabilidade de ler livros com sucesso aumentada 2,5 vezes.
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Se a leitura do Livro de Habilidades falhar, a Maldição do Fantasma Malvado pode ser retirada.
TOOLTIP_APPLY_SLOW_PCT	Chance de Abrandamento: %d%%
TOOLTIP_APPLY_STEAL_HP	%d%% dos danos serão absorvidos pelo VD
TOOLTIP_APPLY_STEAL_SP	%d%% dos danos serão absorvidos pelo MN
TOOLTIP_APPLY_STUN_PCT	Chance de Atordoamento: %d%%
TOOLTIP_ARMOR	Armadura
TOOLTIP_ARROW	Flecha
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valor de Ataque: +%d
TOOLTIP_ATT_SPEED	Rapidez de Ataque: +%d%%
TOOLTIP_BOW_DISTANCE	Alcance do Arco: +%dm
TOOLTIP_BUYPRICE	Preço: %s
TOOLTIP_CAST_SPEED	Rapidez de Feitiço: +%d%%
TOOLTIP_CON	Vitalidade: +%d
TOOLTIP_DEF_GRADE	Defesa: +%d
TOOLTIP_DEX	Destreza: +%d
TOOLTIP_EAR	Brinco
TOOLTIP_ETC	E assim por diante
TOOLTIP_FISHINGROD_EXP	Pontos %d / %d
TOOLTIP_FISHINGROD_LEVEL	Nível: %d
TOOLTIP_FISHINGROD_UPGRADE1	Entrega-a a um Pescador
TOOLTIP_FISHINGROD_UPGRADE2	para conseguir uma
TOOLTIP_FISHINGROD_UPGRADE3	Cana de Pesca melhorada
TOOLTIP_FISH_LEN	Comprimento: %.2fcm
TOOLTIP_HELMET	Capacete
TOOLTIP_HP_REGEN	Regeneração de VD: +%d%%
TOOLTIP_INT	Inteligência: +%d
TOOLTIP_ITEM_ATT_GRADE	Valor de Ataque: %d
TOOLTIP_ITEM_ATT_POWER	Valor de Ataque: %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valor de Ataque: %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valor de Ataque: %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Rapidez de Ataque: %s
TOOLTIP_ITEM_DEF_GRADE	Defesa: %d
TOOLTIP_ITEM_FAST	Rápido
TOOLTIP_ITEM_LIMIT_CON	Limite máximo de Vitalidade: %d
TOOLTIP_ITEM_LIMIT_DEX	Limite máximo de Destreza: %d
TOOLTIP_ITEM_LIMIT_INT	Limite máximo de Inteligência: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Nível Mínimo: %d
TOOLTIP_ITEM_LIMIT_STR	Limite máximo de Força: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valor de Ataque Mágico: %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valor de Ataque Mágico: %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Defesa vs Magias: %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Lento
TOOLTIP_ITEM_VERY_FAST	Muito Rápido
TOOLTIP_ITEM_VERY_SLOW	Muito Lento
TOOLTIP_ITEM_WEARABLE_JOB	[ Equipável ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Número da Sorte: %d
TOOLTIP_MAGIC_ATT_GRADE	Valor de Ataque Mágico: +%d
TOOLTIP_MAGIC_DEF_GRADE	Defesa vs Magias: +%d
TOOLTIP_MALL_ATTBONUS	Valor de Ataque: +%d
TOOLTIP_MALL_ATTBONUS_STATIC	Valor de Ataque: +12~15%
TOOLTIP_MALL_AUTOLOOT	Mão que apanha automaticamente o Yang caído.
TOOLTIP_MALL_DEFBONUS	Defesa: +%d%%
TOOLTIP_MALL_DEFBONUS_STATIC	Defesa: +12~15%
TOOLTIP_MALL_EXPBONUS	EXP: +%d%%
TOOLTIP_MALL_EXPBONUS_P_STATIC	EXP Bónus iCafe: +%d%%
TOOLTIP_MALL_EXPBONUS_STATIC	Mais 50% de Experiência.
TOOLTIP_MALL_FISH_MIND	Dobro da probabilidade de apanhar Peixes Raros.
TOOLTIP_MALL_GOLDBONUS	Probabilidade de apanhar Yangs multiplicada por +%d%%
TOOLTIP_MALL_GOLDBONUS_STATIC	Dobro da probabilidade de apanhar Yang.
TOOLTIP_MALL_ITEMBONUS	Probabilidade de apanhar Itens multiplicada por +%d%%
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe - Probabilidade de apanhar Itens multiplicada por %.1f
TOOLTIP_MALL_ITEMBONUS_STATIC	Dobro da probabilidade de apanhar Itens.
TOOLTIP_MALL_MARRIAGE_FAST	Pontos de Amor aumentam mais rapidamente.
TOOLTIP_MALL_SAFEBOX	O teu Armazém recebe mais 2 espaços de arrumação.
TOOLTIP_MAX_HP	Máx. VD: +%d
TOOLTIP_MAX_HP_PCT	Máx. VD: +%d%%
TOOLTIP_MAX_SP	Máx. MN: +%d
TOOLTIP_MAX_SP_PCT	Máx. MN: +%d%%
TOOLTIP_MAX_STAMINA	Máx. Resistência: +%d
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Rapidez de Movimento: %d%%
TOOLTIP_NECK	Colar
TOOLTIP_NEED_ALL_SP	MN necessário: Máx.
TOOLTIP_NEED_GSP	Dragões Fantasma necessários: %d
TOOLTIP_NEED_HP	VD necessário: %d
TOOLTIP_NEED_HP_PER_SEC	VD: %d / Seg
TOOLTIP_NEED_SKILL_POINT	Pontos de Habilidade necessários:
TOOLTIP_NEED_SP	MN necessário: %d
TOOLTIP_NEED_SP_PER_SEC	MN: %d / Seg
TOOLTIP_NEXT_SKILL_LEVEL_1	Próximo Nível: %d (Máx. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Próximo Nível: %d (Máx. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Dano Médio: %d%%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Resistência a Dano Médio: %d%%
TOOLTIP_PARTY_INFO_GRADE_UP1	Mais de %d Membros do Grupo.
TOOLTIP_PARTY_INFO_GRADE_UP2	Nível de Ataque: +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Nível de Defesa: +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Restaura o VD/MN de todos os membros do Grupo a cada 60 minutos.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Restaura o VD/MN de todos os membros do Grupo a cada 30 minutos.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Tens de esperar 3 minutos depois da morte de um membro do Grupo.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Podes chamar membros do Grupo que estejam no mesmo Servidor a qualquer altura.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Nível de Ataque +(Número de membros do grupo./2) Atacante %d pode ser escolhido.
TOOLTIP_PARTY_INFO_SET_TANKER	Nível de Defesa +(Número de membros do Grupo) pode ser escolhido 1 Lutador de Curta Distância.
TOOLTIP_PARTY_SKILL_LEVEL	Nível Actual: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Ataque/Defesa aumentada]
TOOLTIP_PARTY_TITLE_HEAL	[restaurar]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Quando tens mais de %d membros no Grupo obtens %d%% EXP bónus.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[EXP Bónus]
TOOLTIP_PARTY_TITLE_RECALL	[Chamar]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Constituir Atacante]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Constituir Lutador de Curta Distância]
TOOLTIP_PICK_EXP	Pontos: %d / %d
TOOLTIP_PICK_LEVEL	Nível: %d
TOOLTIP_PICK_UPGRADE1	Entrega-a a um Lenhador
TOOLTIP_PICK_UPGRADE2	para conseguir uma
TOOLTIP_PICK_UPGRADE3	Picareta melhorada
TOOLTIP_POTION_CURE	Curar efeitos negativos.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Rapidez de Ataque: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	VD: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	VD: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Rapidez de Movimento: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MN: +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MN: +%d
TOOLTIP_POTION_SEC	Seg.
TOOLTIP_POTION_TIME	Duração:
TOOLTIP_REQUIREMENT_21_LEVEL	Tens de ser no mínimo Nível 21.
TOOLTIP_REQUIREMENT_41_LEVEL	Tens de ser no mínimo Nível 41.
TOOLTIP_REQUIREMENT_LEVEL	Tens de ser no mínimo Nível %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Nível %d necessário.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necessário.
TOOLTIP_RESIST_BOW	Resistência contra Flechas: %d%%
TOOLTIP_RESIST_ELEC	Resistência a Relâmpagos: %d%%
TOOLTIP_RESIST_FIRE	Resistência contra Fogo: %d%%
TOOLTIP_RESIST_MAGIC	Resistência a Magias: %d%%
TOOLTIP_REST_USABLE_COUNT	Sobram: %d
TOOLTIP_SELLPRICE	Preço: %s
TOOLTIP_SHAMAN	Xamã
TOOLTIP_SHIELD	Escudo
TOOLTIP_SHOESpatos
TOOLTIP_SKILL	Habilidades
TOOLTIP_SKILLBOOK_NAME	Livro de Habilidades
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valor de Ataque: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valor de Ataque:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Rapidez de Ataque: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Defesa:
TOOLTIP_SKILL_AFFECT_DODGE	Rapidez de Ataque do Oponente: -
TOOLTIP_SKILL_AFFECT_HEAL	Restaura VD:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Rapidez de Movimento: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance de reflectir ataques ao corpo:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistência a Danos Corporais:
TOOLTIP_SKILL_COOL_TIME	Tempo de carregamento: 
TOOLTIP_SKILL_DAMAGE_BONUS	Dano de Habilidades: %d%%
TOOLTIP_SKILL_DEFEND_BONUS	Resistência contra Dano de Habilidades: %d%%
TOOLTIP_SKILL_DURATION	Duração: %d Seg.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Faixa de Esquecimento
TOOLTIP_SKILL_LEVEL	Nível Actual: %d
TOOLTIP_SKILL_LEVEL_MASTER	Nível Actual: %d (Mestre)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Nível Actual: %d (Máx. %d)
TOOLTIP_SOCKET_EMPTY	Vazio
TOOLTIP_SOCKET_REFINABLE_ITEM	[Item com Socket]
TOOLTIP_SP_REGEN	Regeneração de MN: +%d%%
TOOLTIP_STR	Força: +%d
TOOLTIP_SURA	Sura
TOOLTIP_UNIQUE	Único
TOOLTIP_WARRIOR	Guerreiro
TOOLTIP_WEAPON	Arma
TOOLTIP_WRISTLET	Pulseira
UI_ACCEPT	Aceitar
UI_CANCEL	Cancelar
UI_CLOSE	Fechar
UI_DEF_FONT	Arial:14
UI_DEF_FONT_LARGE	Arial:16
UI_DEF_FONT_SMALL	Arial:12
UI_DENY	Recusar
UI_ITEM	Item
UI_LEFT_TIME	Tempo Restante: %d Seg.
UI_NEXT	Continuar
UI_NOCONTENTS	Sem Conteúdo
UI_NONAME	Sem Nome
UI_OK	OK
UI_POS_UNKNOWN	Localização Desconhecida
UI_UNKNOWN	Desconhecido
UPLOAD_MARK_CHECK_NEED_RECONNECT	O upload tem de começar de novo.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	O upload tem de começar de novo.
USE_ITEM_FAILURE_PRIVATE_SHOP	Não podes usar este Item porque tens uma Loja Privada aberta.
USE_SKILL_ERROR_UNKNOWN	Erro de Habilidade desconhecido: %s
