VNUM	LOCALE_NAME
20029	Pónei
20030	Cavalo
20031	Pai Natal
20032	Árvore de Natal
20033	Árvore de Natal
20034	Árvore de Natal
20035	Bandeira
20036	Bandeira
20037	Bandeira
20038	..
20039	.
20040	Agente do Terreno
20041	Pedinte Roto
20042	Vendedor Ambulante
20043	.
20044	Armeiro Iseul
20045	Ferreiro Haneul
20046	Ourives Seung
20047	Veio de Diamantes
20048	Veio de Âmbar
20049	Veio de Madeira Fóssil
20050	Veio de Cobre
20051	Veio de Prata
20052	Veio de Ouro
20053	Veio de Jade
20054	Veio de Ébano
20055	Monte de Ostras
20056	Veio de Platina
20057	Veio de Cristal
20058	Veio de Ametista
20059	Veio de Safira
20060	Alquimista de Diamantes
20061	Alquimista de Âmbar
20062	Alquimista de Madeira
20063	Alquimista de Cobre
20064	Alquimista de Prata
20065	Alquimista de Ouro
20066	Alquimista de Jade
20067	Alquimista de Ébano
20068	Alquimista de Pérolas
20069	Alquimista de Platina
20070	Alquimista de Cristal
20071	Alquimista de Ametista
20072	Alquimista de Safira
20073	Selo Ancestral
20074	Mestre de Armas
20075	Mestre de Armaduras
20076	Mestre de Acessórios
20077	Guarda do Altar
20078	Guarda do Altar
20079	Guarda do Altar
20080	Líder de Treino
20081	Selo de Passagem Roubado
20082	Mestre
20083	Jegal-Tunseok
20084	Biólogo Chaegirab
20085	Jimjunja
20086	Handu-Up
20087	Wonda-Rim
20088	Chuk-Sal
20089	Pung-Ho
20090	Heuk-Young
20091	Seon-Pyeong
20092	Hwa-Hee
20093	Koe-Pung
20094	Hong-Hae
20095	Seon-Hae
20096	??? ???
20097	Portão do Castelo
20098	Portão do Castelo
20099	Portão do Castelo
20101	Cavalo Branco
20102	Cavalo Castanho
20103	Cavalo Preto
20104	Cavalo Branco
20105	Cavalo Castanho
20106	Cavalo Preto
20107	Cavalo Branco
20108	Cavalo Castanho
20109	Cavalo Preto
20110	Javali Selvagem
20111	Lobo
20112	Tigre
20113	Leão
20114	white lion
20115	Javali de Guerra
20116	Lobo de Combate
20117	Tigre da Tempestade
20118	Leão da Batalha
20119	Cavalo Negro Nobre
20120	?????
20121	?????
20122	?????
20123	?????
20124	?????
20125	?????
20126	Pai Natal
20201	??????
20202	??????
20203	?????
20204	???????
20205	?????? ??????
20206	?????? ??????
20207	?????? ?????
20208	?????? ???????
20209	?????? ??????
20210	?????? ??????
20211	?????? ?????
20212	?????? ???????
20213	?????????
20214	?????? ?????????
20215	?????? ?????????
20216	????????
20217	?????? ????????
20218	?????? ????????
20219	blackpony
20220	Å©¸®½º¸¶½º ¼ø·Ï
20221	Àü°©¹é¿õ
20222	Àü°©ÆÒ´õ
20223	Àü°©¼®·æÀÚ
20224	³­ÆøÇÑ Àü°©¼®·æÀÚ
20225	¿ë¸ÍÇÑ Àü°©¼®·æÀÚ
20226	ÈæÀ¯´ÏÄÜ
20227	¹éÀ¯´ÏÄÜ
20228	Àü°©¸ÍÁ¶
20229	³­ÆøÇÑ Àü°©¸ÍÁ¶
20230	¿ë¸ÍÇÑ Àü°©¸ÍÁ¶
20231	Àü°©Èæ¹ü
20232	Àü°©Ç¥¹ü
20233	Muffin (Capote Castanho)
20234	Nugget (Capote Castanho)
20235	Muffin (Capote Azul)
20236	Nugget (Capote Azul)
20237	Muffin (Capote Verde)
20238	Nugget (Capote Verde)
20239	Relâmpago
20240	Trovão
20241	Nugget (Azul Marinho)
20242	Muffin (Rosa)
20243	NoNAme
20300	Professor - Luta Corpo
20301	Professor - Luta Mental
20302	Professor - Arte Furtiva
20303	Professor - Arte do Arco
20304	Professor - Luta d'Armas
20305	Professor - Magia Negra
20306	Professor - Força Dragão
20307	Professor - Energia
20320	Professor - Luta Corpo
20321	Professor - Luta Mental
20322	Professor - Arte Furtiva
20323	Professor - Arte do Arco
20324	Professor - Luta d'Armas
20325	Professor - Magia Negra
20326	Professor - Força Dragão
20327	Professor - Energia
20340	Professor - Luta Corpo
20341	Professor - Luta Mental
20342	Professor - Arte Furtiva
20343	Professor - Arte do Arco
20344	Professor - Luta d'Armas
20345	Professor - Magia Negra
20346	Professor - Força Dragão
20347	Professor - Energia
20348	Guarda da Torre
20349	Rapaz do Estábulo
20350	Guarda da Caverna
20351	Guarda da Arena
20352	Memorial de Hasun
20353	Memorial de Seul Rong
20354	Guarda da Cidade
20355	Capitão
20356	Colecionador de Ginseng
20357	Memorial Weol
20358	Flores sem nome
20359	Caixa velha com papéis
20360	Memorial Wha
20361	Memorial Su
20362	Memorial Mok
20363	Memorial Gum
20364	Nakajima
20365	Memorial To
20366	Sa-Soe
20367	Guarda das Catacumbas
20368	Vendedor Ambulante
20369	Lee Chung
20370	Soldado Envenenado
20371	Velha Lápide
20372	Tabuleta de Pedra Gasta
20373	Guarda-Costas
20374	Guarda
20375	Barricada de Madeira
20376	Kim Rim
20377	Yak-Hwan
20378	Almirante Angmur
20379	Soldado Ferido
20380	Yon-I-Walker
20381	Confucius
20382	Flor-Rocha
20383	Jae-Seon Kim
20384	Árvore de Natal
20385	Desfiladeiro de Am-heh
20386	Estela de Isfet
20387	Fechadura do Destino
20388	Portão do Dragão
20389	NoNAme
20390	Lápide de Taramor
20391	Erva do Sol
20392	Soldado Morto
20393	Soldado Ferido
20394	Guarda da Terra do Fogo
20395	Guardião da Terra Gelada
20396	Àû¼ö»ó´Ü ÆÇ¸Å¿ø
20397	Leão de Gelo
20398	Cubo Ártico
20399	Pilar do Dragão do Norte
20400	Myonghorang o Sábio
20401	Guarda da Colónia
20402	Guarda do Portal
20403	Amarok
20404	Nagual
20405	Waheela
20406	NoNAme
20407	Fenrir
20408	Guardião do Templo
20409	Guardião da Floresta
20410	Sentinela da Floresta
20411	Batedor da Floresta
20412	Guardião-Mor da Floresta
20413	Kawuco
20414	NoNAme
20415	Portal
20416	Sam Abóbora
20417	Mesa de Okey
30000	????
30001	????
30101	Estátua de Kud
30102	Obelisco de Basalto
30103	Tartaruga de Rocha
30104	Estaca com Runas
30111	1. Portão da Perdição
30112	2. Portão da Perdição
30113	3. Portão da Perdição
30114	4. Portão da Perdição
30115	5. Portão da Perdição
30116	6. Portão da Perdição
30117	7. Portão da Perdição
30118	8. Portão da Perdição
30119	9. Portão da Perdição
30120	Saco de Ervas
30121	Fantasma de um Sura
30122	Fantasma de um Guerreiro
30123	Santuário Negro
30124	Esqueleto de Sura
30125	Esqueleto de Sura 2
30126	Esqueleto de Sura 3
30127	Esqueleto de Sura 4
30128	Esqueleto de Sura 5
30129	Coelho da Páscoa
30130	Lápide
30131	Sr. B
30301	Veio de Azurite
30302	Veio de Rubi
30303	Veio de Granada
30304	Veio de Esmeralda
30305	Veio de Lápis Lazuli
30306	Veio de Turmalina
33001	?????? ???
33002	Historiador
33003	Cidadão em Jejum
33004	Cidadão em Jejum
33005	Cidadão em Jejum
33006	Cidadão em Jejum
33007	Cidadão em Jejum
33008	Jack Cabeça de Abóbora
34001	phoenix1
34002	??? ???
34003	?????????
34004	ÆÄÈ²
34005	Porky
34006	Rufus
34007	Khan
34008	Leonidas
34009	ÆÄÈ²
34010	Bambi
34011	¾Æ±â ¹é°õ
34012	¾Æ±â ÆÒ´õ
34013	ºÓÀºµµÀû´Ü¾Ö±âÀå¼ö
34014	ºÓÀºµµÀû´ÜÈ²±Ý¾Ö±âÀå¼ö
34015	ÇÒ·ÎÀ©»À°­¾ÆÁö
34016	³ì¿°ºÒ»çÁ¶
34017	¾Æ±â Àü°©¹é¿ø
34018	¾Æ±â Àü°©¹é¶û
34019	¾Æ±â Àü°©¹éÈ£
34020	¾Æ±â Àü°©¹é»çÀÚ
34021	¾Æ±â ¸ÍÁ¶
34022	ºÎÈ°ÀýÅä³¢
34023	¾Æ±â Àü°©Èæ¹ü
34024	¾Æ±â Àü°©Ç¥¹ü
34026	Cabeça de Abóbora
34027	Pequena Vassoura
34028	Floco de Neve
34029	Sino de Neve
34030	Å¥ÇÇÆ®
34031	ÇÏÆ®
34032	Lua Crescente Azul
34033	Lua Crescente Vermelha
34034	Ovelha Branca
34035	Carneiro Azul
34036	Dragonette
34037	Dragonette (Herói)
34039	ÁøÃµÀÇ Àå±º
34041	Mini Macaco
34042	Mini Macaco (Herói)
34045	Mini Aranha
34046	Mini Aranha (Herói)
34049	Mini Razador
34050	Mini Razador (Herói)
34053	Mini Nemere
34054	Mini Nemere (Herói)
34055	Bruce
34056	Wayne
34057	Robin
34058	Valentino
34059	Valentinia
34060	Valentino
34061	Valentinia
60003	Theowahdan
