AFF_LOVE_POINT	Body za lásku: %d%%
SKILL_GROUP_WARRIOR_1	Tìlo
SKILL_GROUP_WARRIOR_2	Mentálnì
SKILL_GWIGEOM	Zaèarovaná èepel
SKILL_GYEONGGONG	Polehouèku našlapovat
SKILL_HEUKSIN	Tmavá ochrana
SKILL_HOSIN	Požehnání
SKILL_HWAYEOM	SKILL_HWAYEOM se už nepoužívá
SKILL_HYEOLMA	SKILL_HYEOLMA se už nepoužívá
SKILL_INC_ATKSPD	Rychlost útoku stoupá
SKILL_INC_MOVSPD	Rychlost pohybu stoupá
SKILL_INMA	SKILL_INMA se už nepoužívá
SKILL_JEOJU	Kletba
SKILL_JEONGEOP	Hojení
SKILL_JEONGWI	Bojové zuøení
SKILL_JEONSINBANGEO	Plná obrana
SKILL_JEONSINGONGGYEOK	Plný útok
SKILL_JEUNGCHE	SKILL_JEUNGCHE se už nepoužívá
SKILL_JEUNGHON	SKILL_JEUNGHON se už nepoužívá
SKILL_JEUNGRYEOK	Útok +
SKILL_JEUNGSOK	Rychlost +
SKILL_JIGAM	SKILL_JIGAM se už nepoužívá
SKILL_JIPJUNG	SKILL_JIPJUNG se už nepoužívá
SKILL_JUMAGAP	Zaèarované brnìní
SKILL_JUMAGEOM	SKILL_JUMAGEOM se už nepoužívá
SKILL_KWAEGEOM	SKILL_KWAEGEOM se už nepoužívá
SKILL_KWAESOK	Rychlost
SKILL_LEGBOUND	SKILL_LEGBOUND se už nepoužívá
SKILL_MUSA	SKILL_MUSA se už nepoužívá
SKILL_MUYEONG	Duch plamene
SKILL_NEED_EMPTY_BOTTLE	Nemám žádnou prázdnou láhev
SKILL_NEED_POISON_BOTTLE	Nemám žádnou láhev s jedem
SKILL_ONLY_FOR_GUILD_WAR	Tuto schopnost mùžeš použít jenom ve válce cechù.
SKILL_PABEOP	Zrušit kouzlo
SKILL_POWERFUL_STRIKE	Omraèující útok
SKILL_SEOMGWANG	Blesková bomba
SKILL_SINCHAK	SKILL_SINCHAK se už nepoužívá
SKILL_SLEEP	Spánek
SKILL_SLOW	Pomalu
SKILL_STUN	Omráèit
SKILL_SUHO	Strážce
SKILL_SUMMON_DESCRIPTION	Šance zaøíkávání: %d%%
SKILL_TOOLTIP_INT	Inteligence
SKILL_TOOLTIP_LEVEL	Level
SKILL_TOXICDIE	Otrávení
SKILL_TOXICPOWER	Hodnota útoku jedem zlepšena
SKILL_TUSOK	Rána ducha
SKILL_WONSIN	SKILL_WONSIN se už nepoužívá
SKILL_YONGSIN	SKILL_YONGSIN se už nepoužívá
STAT_MINUS_CON	Pøizpùsobení životní energie (zbývající šance: %d)
STAT_MINUS_DEX	Pøizpùsobení agility (zbývající šance: %d)
STAT_MINUS_INT	Pøizpùsobení inteligence (zbývající šance: %d)
STAT_MINUS_STR	Pøizpùsobení síly (zbývající šance: %d)
STAT_TOOLTIP_CON	ZB a obrana se zlepší
STAT_TOOLTIP_DEX	Pøesnost a útìk se zlepší
STAT_TOOLTIP_INT	MB a magická síla byly vylepšeny.
STAT_TOOLTIP_STR	Hodnota útoku se zlepší
SYMBOLLIST_TITLE	Nahlásit prapor cechu
SYSTEM_OPTION_CPU_TILING_1	Modus CPU-Tiling mùže zvýšit rychlost slabšího poèítaèe.
SYSTEM_OPTION_CPU_TILING_2	Pokud se vyskytují problémy s grafikou, zvol ,Nastavení systému‘ nebo ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	a pøepni do GPU-Tiling módu
SYSTEM_OPTION_GPU_TILING_1	Modus GPU-Tiling mùže na slabších poèítaèích bìžet pomalu
SYSTEM_OPTION_GPU_TILING_2	Pokud se vyskytují problémy s grafikou, zvol ,Nastavení systému‘ nebo ,CONFIG.exe‘
SYSTEM_OPTION_GPU_TILING_3	a pøepni do módu CPU-Tiling
SYSTEM_OPTION_TILING_EXIT	Na zmìnu Tiling-módu, musí hra být ukonèena.
TARGET_BUTTON_ACCEPT_FIGHT	Souhlasit
TARGET_BUTTON_AVENGE	Pomsta
TARGET_BUTTON_BUILDING_DESTROY	Znièit
TARGET_BUTTON_DISMOUNT	Sesednout
TARGET_BUTTON_EMOTION_ALLOW	Emoce
TARGET_BUTTON_EXCHANGE	Obchodování
TARGET_BUTTON_EXCLUDE	Vylouèit
TARGET_BUTTON_EXIT_OBSERVER	Ukonèit divácký modus
TARGET_BUTTON_FIGHT	Souboj
TARGET_BUTTON_FRIEND	Pøítel
TARGET_BUTTON_INVITE_GUILD	Pozvánka od cechu
TARGET_BUTTON_INVITE_PARTY	Pozvánka od skupiny
TARGET_BUTTON_LEAVE_PARTY	Opustit skupinu
TARGET_BUTTON_REQUEST_ENTER_PARTY	Pøistoupit ke skupinì
TARGET_BUTTON_VIEW_EQUIPMENT	Výzbroj
TARGET_BUTTON_WHISPER	Šeptat
TARGET_LEVEL_BOSS	Bos
TARGET_LEVEL_KING	Stupeò 5.
TARGET_LEVEL_KNIGHT	Stupeò 3.
TARGET_LEVEL_PAWN	Stupeò 1.
TARGET_LEVEL_S_KNIGHT	Stupeò 4.
TARGET_LEVEL_S_PAWN	Stupeò 2.
TASKBAR_ATTACK	Zaútoèit
TASKBAR_AUTO	Automaticky
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Zkušenost
TASKBAR_HP	ZB
TASKBAR_MOVE	Pohybovat
TASKBAR_SKILL	Schopnost
TASKBAR_SP	MB
TASKBAR_ST	VB
THING_COUNT	všichni
TOOLTIP_ANTI_SELL	Nemùže se prodávat v obchodì.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Silný proti zvíøatùm +%d%%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Silný proti ninjùm +%d%%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Silný proti ïáblu +%d%%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Silný proti pololidem +%d%%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Silný proti ezoterikùm +%d%%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Silný proti pøíšerám +%d%%
TOOLTIP_APPLY_ATTBONUS_ORC	Silný proti Orkùm +%d%%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Silný proti šamanùm +%d%%
TOOLTIP_APPLY_ATTBONUS_SURA	Silný proti surùm +%d%%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Silný proti neusmrceným +%d%%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Silný proti váleèníkùm +%d%%
TOOLTIP_APPLY_BLOCK	Šance odvrátit tìlesný útok +%d%%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Každých 5 sek. obnovit MB v boji %d
TOOLTIP_APPLY_CRITICAL_PCT	%d%% šance na kritický zásah
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% šance dostat pøi zásahu MB nazpìt
TOOLTIP_APPLY_DODGE	%d%% šance vyhnout se šípùm
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% šance na bonus BZK
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% šance pustit dvojnásobek Yangù
TOOLTIP_APPLY_IMMUNE_FALL	Imunní proti pádùm
TOOLTIP_APPLY_IMMUNE_SLOW	Ochrana proti zpomalení
TOOLTIP_APPLY_IMMUNE_STUN	Ochrana proti bezvìdomí
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% šance, nechat dvojnásobnì spadnout pøedmìty
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% šance obnovit ZB
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% šance obnovit MB
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% šance pøevzít soupeøovy MB
TOOLTIP_APPLY_NOAFFECT	Žádné následky
TOOLTIP_APPLY_NO_DEATH_PENALTY	V pøípadì smrti bez trestu
TOOLTIP_APPLY_PENETRATE_PCT	%d%% šance na pronikavý zásah
TOOLTIP_APPLY_POISON_PCT	Šance na otrávení: %d%%
TOOLTIP_APPLY_POISON_REDUCE	Odolnost vùèi jedu %d%%
TOOLTIP_APPLY_POTION_BONUS	Elixír %d%% nárùst efektu
TOOLTIP_APPLY_REFLECT_CURSE	%d%% šance odrazit kletbu
TOOLTIP_APPLY_REFLECT_MELEE	%d%% šance odrazit pøímý tìlesný útok
TOOLTIP_APPLY_RESIST_ASSASSIN	Šance na obranu proti útokùm ninjù %d%%
TOOLTIP_APPLY_RESIST_BELL	Obrana zvony %d%%
TOOLTIP_APPLY_RESIST_DAGGER	Obrana dýkou %d%%
TOOLTIP_APPLY_RESIST_FAN	Obrana vìjíøem %d%%
TOOLTIP_APPLY_RESIST_SHAMAN	Šance ubránit se proti útokùm šamanù %d%%
TOOLTIP_APPLY_RESIST_SURA	Šance na obranu proti útokùm surù %d%%
TOOLTIP_APPLY_RESIST_SWORD	Obrana meèem %d%%
TOOLTIP_APPLY_RESIST_TWOHAND	Obrana obouruèným meèem %d%%
TOOLTIP_APPLY_RESIST_WARRIOR	Šance na obranu proti útokùm váleèníkù %d%%
TOOLTIP_APPLY_RESIST_WIND	Odpor vìtru %d%%
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Šance pøi uèení z knih je zlepšena o faktor 2,5
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Pokud se uèení nezdaøí, mùžeš hned èíst ještì jednou.
TOOLTIP_APPLY_SLOW_PCT	Šance na zpomaleni: %d%%
TOOLTIP_APPLY_STEAL_HP	Poškození %d%% je absorbováno ZB.
TOOLTIP_APPLY_STEAL_SP	Poškození %d%% je absorbováno MB.
TOOLTIP_APPLY_STUN_PCT	Šance na bezvìdomí: %d%%
TOOLTIP_ARMOR	Brnìní
TOOLTIP_ARROW	Šíp
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Hodnota útoku +%d
TOOLTIP_ATT_SPEED	Rychlost útoku +%d%%
TOOLTIP_BOW_DISTANCE	Dosah luku +%dm
TOOLTIP_BUYPRICE	Cena: %s
TOOLTIP_CAST_SPEED	Rychlost kouzla +%d%%
TOOLTIP_CON	Životní energie +%d
TOOLTIP_DEF_GRADE	Obrana +%d
TOOLTIP_DEX	Pohyblivost +%d
TOOLTIP_EAR	Náušnice
TOOLTIP_ETC	atd.
TOOLTIP_FISHINGROD_EXP	Body: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Level: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dát rybáøovi
TOOLTIP_FISHINGROD_UPGRADE2	abys dostal
TOOLTIP_FISHINGROD_UPGRADE3	zlepšenou udici
TOOLTIP_FISH_LEN	Délka: %.2fcm
TOOLTIP_HELMET	Pøílba
TOOLTIP_HP_REGEN	Obnovení ZB +%d%%
TOOLTIP_INT	Inteligence +%d
TOOLTIP_ITEM_ATT_GRADE	Hodnota útoku %d
TOOLTIP_ITEM_ATT_POWER	Hodnota útoku %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Hodnota útoku %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Hodnota útoku %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Rychlost útoku %s
TOOLTIP_ITEM_DEF_GRADE	Obrana %d
TOOLTIP_ITEM_FAST	Rychle
TOOLTIP_ITEM_LIMIT_CON	Horní hranice životní energie: %d
TOOLTIP_ITEM_LIMIT_DEX	Horní hranice pohyblivosti: %d
TOOLTIP_ITEM_LIMIT_INT	Horní hranice inteligence: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Od levelu: %d
TOOLTIP_ITEM_LIMIT_STR	Horní hranice síly: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magická hodnota útoku %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magická hodnota útoku %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magická obrana %d
TOOLTIP_ITEM_NORMAL	Normální
TOOLTIP_ITEM_SLOW	Pomalu
TOOLTIP_ITEM_VERY_FAST	Velmi rychle
TOOLTIP_ITEM_VERY_SLOW	Velmi pomalu
TOOLTIP_ITEM_WEARABLE_JOB	[ Lze vyzbrojit ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Šastné èíslo: %d
TOOLTIP_MAGIC_ATT_GRADE	Magická hodnota útoku +%d
TOOLTIP_MAGIC_DEF_GRADE	Magická obrana +%d
TOOLTIP_MALL_ATTBONUS	Hodnota útoku  +%d%%
TOOLTIP_MALL_ATTBONUS_STATIC	Hodnota útoku +12~15%
TOOLTIP_MALL_AUTOLOOT	Yangy se automaticky sesbírají.
TOOLTIP_MALL_DEFBONUS	Obrana +%d%%
TOOLTIP_MALL_DEFBONUS_STATIC	Obrana +12~15%
TOOLTIP_MALL_EXPBONUS	BZK +%d%%
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe bonus BZK +%d%%
TOOLTIP_MALL_EXPBONUS_STATIC	O 50% víc BZK
TOOLTIP_MALL_FISH_MIND	Šance ulovit rybu je zvýšena.
TOOLTIP_MALL_GOLDBONUS	Šance na spadlé Yangy (+%d%%)
TOOLTIP_MALL_GOLDBONUS_STATIC	Zdvojnásobí šanci na spadnutí Yangù
TOOLTIP_MALL_ITEMBONUS	Šance ukoøistit pøedmìty (+%d%%)
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe šance ukoøistit pøedmìty plus %.1f%%
TOOLTIP_MALL_ITEMBONUS_STATIC	Zdvojnásobí šanci ukoøistit pøedmìty
TOOLTIP_MALL_MARRIAGE_FAST	Body za lásku narùstají rychleji.
TOOLTIP_MALL_SAFEBOX	Na skladì je k dispozici více místa.
TOOLTIP_MAX_HP	Max. ZB +%d
TOOLTIP_MAX_HP_PCT	Max. ZB +%d%%
TOOLTIP_MAX_SP	Max. MB +%d
TOOLTIP_MAX_SP_PCT	Max. MB +%d%%
TOOLTIP_MAX_STAMINA	Max. vytrvalost +%d
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	Chyba v GPS(%d, %d)
TOOLTIP_MOV_SPEED	Rychlost pohybu %d%%
TOOLTIP_NECK	Náhrdelník
TOOLTIP_NEED_ALL_SP	Potøebné MB: max.
TOOLTIP_NEED_GSP	Potøebný duch draka: %d
TOOLTIP_NEED_HP	Potøebné ZB: %d
TOOLTIP_NEED_HP_PER_SEC	ZB: %d / sek
TOOLTIP_NEED_SKILL_POINT	Potøebné SB:
TOOLTIP_NEED_SP	Potøebné MB: %d
TOOLTIP_NEED_SP_PER_SEC	MB: %d / sek
TOOLTIP_NEXT_SKILL_LEVEL_1	Pøíští level: %d (max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Pøíští level: %d (max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Prùmìrná škoda %d%%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Prùmìrná odolnost proti škodì %d%%
TOOLTIP_PARTY_INFO_GRADE_UP1	Více než %d èlenù skupiny
TOOLTIP_PARTY_INFO_GRADE_UP2	Stupeò útoku +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Stupeò obrany +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Obnovit jednou za 60 min. ZB/MB všech èlenù skupiny.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Jednou za 30 min. obnovit ZB/MB všech èlenù skupiny.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Musíš poèkat tøi minuty po smrti èlenu skupiny.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Mùžeš kdykoliv zavolat k sobì èleny skupiny na stejném serveru.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Stupeò útoku +(poèet èlenù skupiny/2) Lze zvolit útoèníky %d.
TOOLTIP_PARTY_INFO_SET_TANKER	Stupeò obrany +(poèet èlenù skupiny). Lze zvolit bojovníky zblízka 1.
TOOLTIP_PARTY_SKILL_LEVEL	Aktuální level: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Útok/obrana zlepšen(a)]
TOOLTIP_PARTY_TITLE_HEAL	[Obnovit]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Pokud máš více než %d èlenù skupiny, obdržíš bonusové BZK %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonusové BZK]
TOOLTIP_PARTY_TITLE_RECALL	[Pøivolat]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Urèit útoèníky]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Urèit bojovníky zblízka]
TOOLTIP_PICK_EXP	Body: %d / %d
TOOLTIP_PICK_LEVEL	Level: %d
TOOLTIP_PICK_UPGRADE1	Dát døevorubci
TOOLTIP_PICK_UPGRADE2	abys dostal lepší
TOOLTIP_PICK_UPGRADE3	kopáè.
TOOLTIP_POTION_CURE	Dát negativní efekty do pùvodního stavu.
TOOLTIP_POTION_MIN	min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Rychlost útoku: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	ZB: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	ZB: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Rychlost pohybu: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MB: +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MB: +%d
TOOLTIP_POTION_SEC	sek.
TOOLTIP_POTION_TIME	Doba:
TOOLTIP_REQUIREMENT_21_LEVEL	Musíš nejdøív dosáhnout level 21
TOOLTIP_REQUIREMENT_41_LEVEL	Musíš nejdøív dosáhnout level 41
TOOLTIP_REQUIREMENT_LEVEL	Musíš nejdøív dosáhnout level %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	Je zapotøebí %s level %d
TOOLTIP_REQUIREMENT_STAT_LEVEL	Je zapotøebí %s %d
TOOLTIP_RESIST_BOW	Odolnost proti šípùm %d%%
TOOLTIP_RESIST_ELEC	Odolnost proti blesku %d%%
TOOLTIP_RESIST_FIRE	Odolnost proti ohni %d%%
TOOLTIP_RESIST_MAGIC	Odolnost proti magii %d%%
TOOLTIP_REST_USABLE_COUNT	Zbývá: %d
TOOLTIP_SELLPRICE	Cena: %s
TOOLTIP_SHAMAN	Šaman
TOOLTIP_SHIELD	Štít
TOOLTIP_SHOES	Boty
TOOLTIP_SKILL	Schopnost
TOOLTIP_SKILLBOOK_NAME	Kniha schopností
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Hodnota útoku: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Hodnota útoku:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Rychlost útoku: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Obrana:
TOOLTIP_SKILL_AFFECT_DODGE	Soupeøova hodnota útoku:
TOOLTIP_SKILL_AFFECT_HEAL	Obnovit ZB:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Rychlost pohybu: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Šance odrazit tìlesný útok:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Odolnost proti tìlesné újmì:
TOOLTIP_SKILL_COOL_TIME	Doba nabíjení: 
TOOLTIP_SKILL_DAMAGE_BONUS	Poškození schopností: %d%%
TOOLTIP_SKILL_DEFEND_BONUS	Odolnost proti poškození schopností %d%%
TOOLTIP_SKILL_DURATION	Doba: %d sek.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Pás zapomnìní
TOOLTIP_SKILL_LEVEL	Aktuální level: %d
TOOLTIP_SKILL_LEVEL_MASTER	Aktuální level: %d (mistr)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Aktuální level: %d (max. %d)
TOOLTIP_SOCKET_EMPTY	Prázdný
TOOLTIP_SOCKET_REFINABLE_ITEM	[Pøedmìt s úchytem]
TOOLTIP_SP_REGEN	Obnovení MB +%d%%
TOOLTIP_STR	Síla +%d
TOOLTIP_SURA	Sura
TOOLTIP_UNIQUE	Jedineèný
TOOLTIP_WARRIOR	Váleèník
TOOLTIP_WEAPON	Zbraò
TOOLTIP_WRISTLET	Náramek
UI_ACCEPT	Pøijmout
UI_CANCEL	Zrušit
UI_CLOSE	Zavøít
UI_DEF_FONT	Arial:14
UI_DEF_FONT_LARGE	Arial:16
UI_DEF_FONT_SMALL	Arial:12
UI_DENY	Odmítnout
UI_ITEM	Pøedmìt
UI_LEFT_TIME	Zbývající èas: %d sek.
UI_NEXT	Dále
UI_NOCONTENTS	Bez obsahu
UI_NONAME	Chybí jméno	
UI_OK	OK
UI_POS_UNKNOWN	Neznámé místo
UI_UNKNOWN	Neznámý
UPLOAD_MARK_CHECK_NEED_RECONNECT	Upload musí být proveden ještì jednou
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload musí být proveden ještì jednou
USE_ITEM_FAILURE_PRIVATE_SHOP	Pokud jsi otevøel soukromý stánek, nemùžeš použít tento pøedmìt.
USE_SKILL_ERROR_UNKNOWN	Neznámá chyba v schopnostech: %s
TOOLTIP_APPLY_BLEEDING_PCT	Krvácivý útok + %d%%
TOOLTIP_APPLY_BLEEDING_REDUCE	Odolnost proti krvácivým útokùm + %d%%
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Silný proti Lycanùm + %d%%
TOOLTIP_APPLY_RESIST_WOLFMAN	Obrana proti útokùm Lycanù %d%%
TOOLTIP_APPLY_RESIST_CLAW	Obrana proti èelistem  + %d%%
TOOLTIP_APPLY_RESIST_MAGIC_REDUCTION	Prùnik kouzla %d%%
TOOLTIP_RESIST_DARK	Odolnost vùèi temnotì +%d%% 
TOOLTIP_RESIST_EARTH	Odolnost Zemi +%d%% 
TOOLTIP_RESIST_ICE	Odolnost ledu +%d%% 
TOOLTIP_APPLY_ACCEDRAIN_RATE	Absorpèní pomìr: %d%%
ACCE_ABSORB_COST	Cena absorpce: %d
ACCE_ALREADY_REGISTER	Pøedmìt již byl použit.
ACCE_DEL_ABSORDITEM	Absorbovat pøedmìt a tím jej znièit?
ACCE_DEL_SERVEITEM	Šerpa 2 bude znièena, pokud jejich kombinace selže.
ACCE_DEL_SERVEITEM2	Šerpa 2 bude znièena, pokud jejich kombinace selže.
ACCE_INITEM	Pøetáhni pøedmìty do okna.
ACCE_MAXGRADE	Toto již bylo pøizpùsobeno.
ACCE_MAX_DRAINRATE	Maximální absorpèní pomìr
ACCE_NOTABSORBITEM	Nemùžeš použít brnìní èi zbraò, pokud již byly absorbovány.
ACCE_NOT_SEALITEM	Nelze použít pøedmìty s duševním poutem.
ACCE_NOT_USINGITEM	Nemùžeš kombinovat pøedmìt, který se používá.
ACCE_NOT_WINDOWOPEN	Nemùžeš použít pøedmìt, pokud je otevøeno okno pro kombinování.
ACCE_POSSIBLE_ACCE	Mùžeš použít pouze šerpy.
ACCE_POSSIBLE_ACCEITEM	Bonusy lze získat pouze ze zbranì nebo brnìní.
PRIVATESHOPSEARCH_ABLITY_POTION	Rosa
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Jemné plátno
PRIVATESHOPSEARCH_ARMOR	Výbava
PRIVATESHOPSEARCH_ARROW	Šípy
PRIVATESHOPSEARCH_BELL	Zvony
PRIVATESHOPSEARCH_BELT	Opasky
PRIVATESHOPSEARCH_BLEND	Lektvary
PRIVATESHOPSEARCH_BLOOD_PEARL	Krvavì rudá perla
PRIVATESHOPSEARCH_BLUE_PEARL	Modrá perla
PRIVATESHOPSEARCH_BODY	Brnìní
PRIVATESHOPSEARCH_BOW	Luky
PRIVATESHOPSEARCH_BUYTIME	Pøeješ si koupit zvolený pøedmìt?
PRIVATESHOPSEARCH_CLAW	Drápy
PRIVATESHOPSEARCH_CLEAR_POTION	Elixíry
PRIVATESHOPSEARCH_COSTUME	Kostýmy
PRIVATESHOPSEARCH_COSTUMEBODY	Kostým
PRIVATESHOPSEARCH_COSTUMEHAIR	Úèes
PRIVATESHOPSEARCH_COSTUME_ACCE	Šerpy
PRIVATESHOPSEARCH_COSTUME_MOUNT	Jezdecké zvíøe
PRIVATESHOPSEARCH_CRYSTAL	Køišál
PRIVATESHOPSEARCH_DAGGER	Dýky
PRIVATESHOPSEARCH_DEAD	Mrtvý
PRIVATESHOPSEARCH_DETACHMENT	Pøíruèka kamenù
PRIVATESHOPSEARCH_DIAMOND	Diamant
PRIVATESHOPSEARCH_DS	Alchymie Draèích kamenù
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUE	Safír
PRIVATESHOPSEARCH_DS_GREEN	Nefrit
PRIVATESHOPSEARCH_DS_RED	Rubín
PRIVATESHOPSEARCH_DS_WHITE	Diamant
PRIVATESHOPSEARCH_DS_YELLOW	Granát
PRIVATESHOPSEARCH_EAR	Náušnice
PRIVATESHOPSEARCH_FAN	Vìjíøe
PRIVATESHOPSEARCH_FISH	Ryby
PRIVATESHOPSEARCH_FOOTS	Boty
PRIVATESHOPSEARCH_GEM	Drahokamy
PRIVATESHOPSEARCH_GIFTBOX	Dárkové truhly
PRIVATESHOPSEARCH_HEAD	Pøilbice
PRIVATESHOPSEARCH_LIVE	Naživu
PRIVATESHOPSEARCH_MATERIAL	Materiály
PRIVATESHOPSEARCH_METIN	Kameny duše
PRIVATESHOPSEARCH_NECK	Náhrdelníky
PRIVATESHOPSEARCH_NODELAY_POTION	Pøedmìty pro ZB
PRIVATESHOPSEARCH_ORE	Ruda
PRIVATESHOPSEARCH_PET	Systém mazlíkù
PRIVATESHOPSEARCH_PETAGG	Vejce mazlíkù
PRIVATESHOPSEARCH_PETSKILLBOOK	Knihy schopností mazlíka
PRIVATESHOPSEARCH_PICK	Krumpáèe
PRIVATESHOPSEARCH_POTION	Lektvary
PRIVATESHOPSEARCH_QUEST	Úkol
PRIVATESHOPSEARCH_QUIVER	Toulce
PRIVATESHOPSEARCH_RESOURCE	Vylepšení pøedmìtù
PRIVATESHOPSEARCH_ROD	Rybáøské pruty
PRIVATESHOPSEARCH_SELECTITEM	Zvolený pøedmìt
PRIVATESHOPSEARCH_SHIELD	Štíty
PRIVATESHOPSEARCH_SKILLBOOK	Knihy schopností
PRIVATESHOPSEARCH_SKILLFORGET	Kniha zapomnìní
PRIVATESHOPSEARCH_SPECIAL	Rùzné
PRIVATESHOPSEARCH_STONE	Fragmenty energie
PRIVATESHOPSEARCH_SWORD	Jednoruèní meèe
PRIVATESHOPSEARCH_TREASUREBOX	Truhly
PRIVATESHOPSEARCH_TUNING	Pergameny
PRIVATESHOPSEARCH_TWOSWORD	Dvouruèní meèe
PRIVATESHOPSEARCH_UNIQUE	Unikátní
PRIVATESHOPSEARCH_USEITEM	Spotøební pøedmìty
PRIVATESHOPSEARCH_USESPECIAL	Rùzné
PRIVATESHOPSEARCH_WEAPON	Zbranì
PRIVATESHOPSEARCH_WHITE_PEARL	Bílá perla
PRIVATESHOPSEARCH_WRIST	Náramky
PRIVATE_SHOP_CANNOT_SELL_ITEM	Tento pøedmìt nemùžeš prodávat v soukromém stánku.
PRIVATE_SHOP_CLOSE_QUESTION	Chceš zavøít soukromý stánek?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Název soukromého stánku.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Cena
DRAGON_SOUL_CANNOT_REFINE	Draèí kámen nelze zušlechtit.
DRAGON_SOUL_CANNOT_REFINE_MORE	Draèí kámen je již na nejvyšší úrovni.
DRAGON_SOUL_EQUIP_WARNING1	Je tìžké odebrat Draèí kámen, jakmile je jednou pøidán.
DRAGON_SOUL_EQUIP_WARNING2	Opravdu si pøeješ pokraèovat?
DRAGON_SOUL_EXPIRED	Propadlý Draèí kámen
DRAGON_SOUL_INVALID_DRAGON_SOUL	Toto je špatný Draèí kámen.
